symbol,closed_at,shares,entry_price,pnl,had_partial_exits
SH,2026-07-27T14:53:23.911314+00:00,59,33.56,-2.95,False
SH,2026-07-30T14:29:23.882254+00:00,59,33.54,-2.36,False
AVGO,2026-07-30T14:43:20.123443+00:00,5,386.29,1.8,False
AMD,2026-07-30T14:44:22.732623+00:00,4,496.96,-15.34,False
NVDA,2026-07-30T14:44:22.738229+00:00,10,195.59,5.6,False
GOOGL,2026-07-30T17:13:33.743167+00:00,5,335.014,-1.22,False
QQQ,2026-07-30T17:14:22.203125+00:00,2,681.76,-0.1,False
SH,2026-07-31T14:34:30.737982+00:00,59,33.55,-5.9,False
AMZN,2026-07-31T14:34:30.743594+00:00,7,269.5686,13.330002,False
CAT,2026-08-03T14:53:22.900707+00:00,2,821.7,22.02,False
SH,2026-08-03T15:17:21.702846+00:00,60,32.81,-0.6,False
TSLA,2026-08-03T16:31:25.961093+00:00,6,321.0,4.86,False
IWM,2026-08-03T16:33:31.713142+00:00,6,295.86,-1.8,False
AVGO,2026-08-03T16:42:22.820781+00:00,5,388.12,-0.9,False
AMD,2026-08-03T16:56:24.295344+00:00,4,471.48,34.4,False
NVDA,2026-08-03T16:56:24.301848+00:00,9,202.11,44.01,False
MSFT,2026-08-03T16:59:16.421751+00:00,4,487.19,5.373332,False
MSFT,2026-08-04T14:30:24.064484+00:00,4,491.47,9.24,False
CRM,2026-08-04T16:09:25.035570+00:00,10,189.31,-4.3,False
XOM,2026-08-04T16:23:00.088420+00:00,13,153.21,1.619085,True
NVDA,2026-08-04T16:31:17.835794+00:00,9,210.2644,0.500004,False
META,2026-08-04T16:41:27.778575+00:00,3,581.26,-5.180001,False
META,2026-09-16T18:13:33.073763+00:00,2,681.09,-7.32,False
TSLA,2026-09-16T18:14:21.465035+00:00,5,362.84,-10.55,False
SH,2026-09-17T16:33:26.356642+00:00,61,32.72,0.0,False
TSLA,2026-09-17T16:49:26.214276+00:00,5,367.88,-5.6,False
WMT,2026-09-17T17:04:18.537395+00:00,18,106.44,6.289992,False
