symbol,direction,entry_price,exit_price,entry_bar,exit_bar,shares,pnl,exit_reason,predicted_return,actual_return,confidence,correct_direction,is_exploration,entry_source,regime_at_entry,regime_at_exit,mfe,mae,bars_held_at_exit,time_in_trade_seconds,closed_at
AMD,1.0,207.54,209.68,3026,3108,22,47.08,horizon_timeout,0.000853,0.010311,0.2768,True,False,alpha,trending_up,trending_up,57.1,13.21,18,1034.4,2026-04-02T14:24:20.772577+00:00
AMZN,1.0,209.055,210.12,3083,3164,22,23.43,horizon_timeout,0.000232,0.005094,0.28,True,False,alpha,trending_up,chop,13.09,0.38,18,1034.0,2026-04-02T14:36:19.355235+00:00
META,1.0,577.1637,573.8,3168,3178,5,-16.82,pyramid_cut_full_at_-1.3R,0.001195,-0.005828,0.4555,False,False,alpha,trending_up,trending_up,2.23,32.43,3,128.8,2026-04-02T14:39:19.357168+00:00
IWM,1.0,251.24,250.5557,3168,3192,13,-8.9,pyramid_cut_full_at_-1.5R,0.000711,-0.002724,0.4761,False,False,alpha,trending_up,high_vol,8.45,28.35,6,312.0,2026-04-02T14:42:22.568877+00:00
XLK,1.0,133.58,134.9793,3126,3197,40,55.97,stop_loss,0.001932,0.010475,0.28,True,False,alpha,trending_up,high_vol,80.8,59.67,16,916.7,2026-04-02T14:43:29.326902+00:00
AMD,1.0,212.98,212.1,3260,3289,15,-13.2,pyramid_cut_full_at_-1.3R,0.000995,-0.004132,0.28,False,False,alpha,trending_up,trending_up,9.15,37.07,7,371.1,2026-04-02T15:03:22.404159+00:00
AMD,1.0,214.34,214.2707,3326,3381,15,-1.04,failure_to_follow,0.002571,-0.000323,0.3284,False,False,alpha,chop,chop,5.7,23.79,12,677.1,2026-04-02T15:22:23.707660+00:00
XLE,1.0,59.45,59.35,3365,3400,55,-5.5,pyramid_cut_full_at_-1.4R,0.001056,-0.001682,0.28,False,False,alpha,chop,chop,0.55,11.58,8,431.2,2026-04-02T15:26:17.632420+00:00
XLK,1.0,135.55,135.37,3453,3478,24,-4.32,pyramid_cut_full_at_-1.3R,0.003266,-0.001328,0.28,False,False,alpha,chop,chop,0.96,9.35,6,308.2,2026-04-02T15:42:15.683572+00:00
AMZN,1.0,210.155,209.912,3502,3517,15,-3.64,pyramid_cut_full_at_-1.2R,0.001148,-0.001156,0.28,False,False,alpha,chop,chop,0.0,8.54,4,183.7,2026-04-02T15:50:15.054057+00:00
XLE,1.0,59.21,59.13,3541,3547,56,-4.48,pyramid_cut_full_at_-1.0R,0.000455,-0.001351,0.28,False,False,alpha,chop,chop,0.0,8.68,2,73.4,2026-04-02T15:56:20.417964+00:00
XLK,1.0,135.18,134.9492,3556,3611,24,-5.54,pyramid_cut_full_at_-1.7R,0.000741,-0.001708,0.28,False,False,alpha,chop,chop,5.28,10.63,12,673.5,2026-04-02T16:09:23.048433+00:00
SH,1.0,37.72,37.69,3929,3939,88,-2.64,pyramid_cut_full_at_-1.1R,0.000374,-0.000795,0.28,False,False,alpha,chop,chop,0.0,4.08,3,123.9,2026-04-02T17:16:15.863114+00:00
XLK,1.0,135.135,135.47,3919,4002,40,13.4,horizon_timeout,0.000721,0.002479,0.28,True,False,alpha,chop,chop,14.0,6.88,18,1024.6,2026-04-02T17:29:13.557817+00:00
XLK,1.0,135.348,135.2292,4050,4085,24,-2.85,pyramid_cut_full_at_-1.4R,0.000761,-0.000878,0.28,False,False,alpha,chop,chop,1.97,4.1,8,428.9,2026-04-02T17:46:16.905313+00:00
XOM,1.0,160.11,160.67,4124,4209,33,18.48,horizon_timeout,0.001347,0.003498,0.252,True,False,alpha,chop,chop,19.14,7.85,18,1053.3,2026-04-02T18:11:44.901035+00:00
NVDA,1.0,177.04,176.975,4359,4428,18,-1.17,pyramid_cut_partial_at_-0.9R,0.000478,-0.000367,0.3541,False,False,alpha,chop,chop,0.0,6.99,15,853.2,2026-04-02T18:56:25.522412+00:00
XOM,1.0,160.95,160.81,4407,4437,20,-2.8,pyramid_cut_full_at_-1.4R,0.000132,-0.00087,0.2761,False,False,alpha,chop,chop,1.0,6.52,7,370.0,2026-04-02T18:58:16.001874+00:00
SH,1.0,37.7,37.68,4451,4456,88,-1.76,pyramid_cut_full_at_-1.6R,0.000435,-0.000531,0.28,False,False,alpha,chop,chop,0.0,2.67,2,64.1,2026-04-02T19:02:16.553150+00:00
PSQ,1.0,31.87,31.82,4657,4697,105,-5.25,stop_loss,0.000373,-0.001569,0.28,False,False,alpha,chop,chop,1.58,2.79,8,486.4,2026-04-02T19:51:18.482733+00:00
