 symbol | side |    qty    | avg_fill_price |          created_at           
--------+------+-----------+----------------+-------------------------------
 XLE    | buy  | 58.000000 |      56.459310 | 2026-04-08 13:29:11.46787+00
 XLE    | sell | 21.000000 |      56.317619 | 2026-04-08 13:33:47.915954+00
 XLE    | sell | 37.000000 |      56.320000 | 2026-04-08 13:36:11.741497+00
 XLE    | sell | 37.000000 |      56.520000 | 2026-04-08 13:36:47.826052+00
 AAPL   | buy  | 12.000000 |     257.290833 | 2026-04-08 16:21:06.00325+00
 XOM    | buy  | 21.000000 |     154.047143 | 2026-04-08 16:26:09.431812+00
 XOM    | sell | 21.000000 |     153.570000 | 2026-04-08 16:28:10.670188+00
 AAPL   | buy  |  6.000000 |     257.780000 | 2026-04-08 16:33:03.062547+00
 AAPL   | sell | 18.000000 |     257.760000 | 2026-04-08 16:38:06.779217+00
 XLK    | buy  | 23.000000 |     141.790000 | 2026-04-08 17:33:09.725386+00
 XLK    | sell | 11.000000 |     141.720000 | 2026-04-08 17:34:09.727914+00
 XLK    | sell |  6.000000 |     141.768333 | 2026-04-08 17:36:11.800794+00
 XLK    | sell |  3.000000 |     141.806667 | 2026-04-08 17:37:00.67153+00
 XLK    | sell |  3.000000 |     141.870000 | 2026-04-08 17:50:10.135871+00
 TSLA   | buy  |  6.000000 |     347.280000 | 2026-04-08 18:04:09.027533+00
 TSLA   | sell |  6.000000 |     346.480000 | 2026-04-08 18:18:09.117088+00
 AAPL   | buy  | 15.000000 |     257.390000 | 2026-04-08 18:31:05.504231+00
 AAPL   | sell |  7.000000 |     257.240000 | 2026-04-08 18:41:03.729635+00
 AAPL   | sell |  8.000000 |     257.206250 | 2026-04-08 18:42:04.360428+00
 AMZN   | buy  | 16.000000 |     221.253750 | 2026-04-08 18:46:07.426041+00
 AMZN   | sell |  8.000000 |     221.060000 | 2026-04-08 18:48:08.82738+00
 AMZN   | sell |  4.000000 |     221.057500 | 2026-04-08 18:49:09.429117+00
 AMZN   | sell |  4.000000 |     220.735000 | 2026-04-08 18:50:10.441677+00
 SPY    | buy  |  7.000000 |     673.784286 | 2026-04-08 19:10:08.746126+00
 SPY    | buy  |  3.000000 |     674.136667 | 2026-04-08 19:17:04.864646+00
 SPY    | sell |  5.000000 |     673.600000 | 2026-04-08 19:21:07.676962+00
 SPY    | sell |  2.000000 |     673.595000 | 2026-04-08 19:22:08.150439+00
 SPY    | sell |  3.000000 |     673.500000 | 2026-04-08 19:23:08.823094+00
 XLE    | buy  | 37.000000 |      58.060000 | 2026-04-08 19:58:06.505577+00
(29 rows)

