symbol,direction,entry_price,exit_price,entry_bar,exit_bar,shares,pnl,exit_reason,predicted_return,actual_return,confidence,correct_direction,is_exploration,entry_source,regime_at_entry,regime_at_exit,mfe,mae,bars_held_at_exit,time_in_trade_seconds,closed_at
CRM,1.0,198.3,198.29,0,0,3,-0.03,failure_to_follow,0.0,-5e-05,0.1415,False,False,,,,0.0,0.0,0,0.0,
CRM,1.0,195.81,195.39,0,0,27,-11.34,failure_to_follow,0.0,-0.002145,0.4395,False,False,,,,0.0,0.0,0,0.0,
CRM,1.0,194.55,194.4007,0,0,27,-4.03,failure_to_follow,0.0,-0.000767,0.4249,False,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,146.03,146.2467,0,0,3,0.65,failure_to_follow,0.0,0.001484,0.1174,True,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,151.3991,151.715,0,0,35,11.05,ml_reversal,0.0,0.002086,0.4278,True,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,152.44,151.66,0,0,35,-27.3,failure_to_follow,0.0,-0.005117,0.2681,False,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,153.0147,153.43,0,0,15,6.23,max_holding_period,0.0,0.002714,0.7,True,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,154.26,153.5494,0,0,34,-24.16,failure_to_follow,0.0,-0.004606,0.6198,False,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,153.62,153.48,0,0,34,-4.76,failure_to_follow,0.0,-0.000911,0.5578,False,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,153.0385,155.09,0,0,34,69.75,stop_loss,0.0,0.013405,0.6475,True,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,153.86,151.7135,0,0,34,-72.98,stop_loss,0.0,-0.013951,0.1578,False,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,151.02,151.068,0,0,35,1.68,stop_loss,0.0,0.000318,0.6173,True,False,,,,0.0,0.0,0,0.0,
PLTR,1.0,154.06,154.81,0,0,34,25.5,failure_to_follow,0.0,0.004868,0.7036,True,False,,,,0.0,0.0,0,0.0,
