month,eligible_outcomes,exclusion,in_common_screen_calendar,in_common_screen_eligible
1947-01,True,,False,False
1947-02,True,,False,False
1947-03,True,,False,False
1947-04,True,,False,False
1947-05,True,,False,False
1947-06,True,,False,False
1947-07,True,,False,False
1947-08,True,,False,False
1947-09,True,,False,False
1947-10,True,,False,False
1947-11,True,,False,False
1947-12,True,,False,False
1948-01,True,,False,False
1948-02,True,,False,False
1948-03,True,,False,False
1948-04,True,,False,False
1948-05,True,,False,False
1948-06,True,,False,False
1948-07,True,,False,False
1948-08,True,,False,False
1948-09,True,,False,False
1948-10,True,,False,False
1948-11,True,,False,False
1948-12,True,,False,False
1949-01,True,,False,False
1949-02,True,,False,False
1949-03,True,,False,False
1949-04,True,,False,False
1949-05,True,,False,False
1949-06,True,,False,False
1949-07,True,,False,False
1949-08,True,,False,False
1949-09,True,,False,False
1949-10,True,,False,False
1949-11,True,,False,False
1949-12,True,,False,False
1950-01,True,,False,False
1950-02,True,,False,False
1950-03,True,,False,False
1950-04,True,,False,False
1950-05,True,,False,False
1950-06,True,,False,False
1950-07,True,,False,False
1950-08,True,,False,False
1950-09,True,,False,False
1950-10,True,,False,False
1950-11,True,,False,False
1950-12,True,,False,False
1951-01,True,,False,False
1951-02,True,,False,False
1951-03,True,,False,False
1951-04,True,,False,False
1951-05,True,,False,False
1951-06,True,,False,False
1951-07,True,,False,False
1951-08,True,,False,False
1951-09,True,,False,False
1951-10,True,,False,False
1951-11,True,,False,False
1951-12,True,,False,False
1952-01,True,,False,False
1952-02,True,,False,False
1952-03,True,,False,False
1952-04,True,,False,False
1952-05,True,,False,False
1952-06,True,,False,False
1952-07,True,,False,False
1952-08,True,,False,False
1952-09,True,,False,False
1952-10,True,,False,False
1952-11,True,,False,False
1952-12,True,,False,False
1953-01,True,,False,False
1953-02,True,,False,False
1953-03,True,,False,False
1953-04,True,,False,False
1953-05,True,,False,False
1953-06,True,,False,False
1953-07,True,,False,False
1953-08,True,,False,False
1953-09,True,,False,False
1953-10,True,,False,False
1953-11,True,,False,False
1953-12,True,,False,False
1954-01,True,,False,False
1954-02,True,,False,False
1954-03,True,,False,False
1954-04,True,,False,False
1954-05,True,,False,False
1954-06,True,,False,False
1954-07,True,,False,False
1954-08,True,,False,False
1954-09,True,,False,False
1954-10,True,,False,False
1954-11,True,,False,False
1954-12,True,,False,False
1955-01,True,,False,False
1955-02,True,,False,False
1955-03,True,,False,False
1955-04,True,,False,False
1955-05,True,,False,False
1955-06,True,,False,False
1955-07,True,,False,False
1955-08,True,,False,False
1955-09,True,,False,False
1955-10,True,,False,False
1955-11,True,,False,False
1955-12,True,,False,False
1956-01,True,,False,False
1956-02,True,,False,False
1956-03,True,,False,False
1956-04,True,,False,False
1956-05,True,,False,False
1956-06,True,,False,False
1956-07,True,,False,False
1956-08,True,,False,False
1956-09,True,,False,False
1956-10,True,,False,False
1956-11,True,,False,False
1956-12,True,,False,False
1957-01,True,,False,False
1957-02,True,,False,False
1957-03,True,,False,False
1957-04,True,,False,False
1957-05,True,,False,False
1957-06,True,,False,False
1957-07,True,,False,False
1957-08,True,,False,False
1957-09,True,,False,False
1957-10,True,,False,False
1957-11,True,,False,False
1957-12,True,,False,False
1958-01,True,,False,False
1958-02,True,,False,False
1958-03,True,,False,False
1958-04,True,,False,False
1958-05,True,,False,False
1958-06,True,,False,False
1958-07,True,,False,False
1958-08,True,,False,False
1958-09,True,,False,False
1958-10,True,,False,False
1958-11,True,,False,False
1958-12,True,,False,False
1959-01,True,,False,False
1959-02,True,,False,False
1959-03,True,,False,False
1959-04,True,,False,False
1959-05,True,,False,False
1959-06,True,,False,False
1959-07,True,,False,False
1959-08,True,,False,False
1959-09,True,,False,False
1959-10,True,,False,False
1959-11,True,,False,False
1959-12,True,,False,False
1960-01,True,,False,False
1960-02,True,,False,False
1960-03,True,,False,False
1960-04,True,,False,False
1960-05,True,,False,False
1960-06,True,,False,False
1960-07,True,,False,False
1960-08,True,,False,False
1960-09,True,,False,False
1960-10,True,,False,False
1960-11,True,,False,False
1960-12,True,,False,False
1961-01,True,,False,False
1961-02,True,,False,False
1961-03,True,,False,False
1961-04,True,,False,False
1961-05,True,,False,False
1961-06,True,,False,False
1961-07,True,,False,False
1961-08,True,,False,False
1961-09,True,,False,False
1961-10,True,,False,False
1961-11,True,,False,False
1961-12,True,,False,False
1962-01,True,,False,False
1962-02,True,,False,False
1962-03,True,,False,False
1962-04,True,,False,False
1962-05,True,,False,False
1962-06,True,,False,False
1962-07,True,,False,False
1962-08,True,,False,False
1962-09,True,,False,False
1962-10,True,,False,False
1962-11,True,,False,False
1962-12,True,,False,False
1963-01,True,,False,False
1963-02,True,,False,False
1963-03,True,,False,False
1963-04,True,,False,False
1963-05,True,,False,False
1963-06,True,,False,False
1963-07,True,,False,False
1963-08,True,,False,False
1963-09,True,,False,False
1963-10,True,,False,False
1963-11,True,,False,False
1963-12,True,,False,False
1964-01,True,,False,False
1964-02,True,,False,False
1964-03,True,,False,False
1964-04,True,,False,False
1964-05,True,,False,False
1964-06,True,,False,False
1964-07,True,,True,True
1964-08,True,,True,True
1964-09,True,,True,True
1964-10,True,,True,True
1964-11,True,,True,True
1964-12,True,,True,True
1965-01,True,,True,True
1965-02,True,,True,True
1965-03,True,,True,True
1965-04,True,,True,True
1965-05,True,,True,True
1965-06,True,,True,True
1965-07,True,,True,True
1965-08,True,,True,True
1965-09,True,,True,True
1965-10,True,,True,True
1965-11,True,,True,True
1965-12,True,,True,True
1966-01,True,,True,True
1966-02,True,,True,True
1966-03,True,,True,True
1966-04,True,,True,True
1966-05,True,,True,True
1966-06,True,,True,True
1966-07,True,,True,True
1966-08,True,,True,True
1966-09,True,,True,True
1966-10,True,,True,True
1966-11,True,,True,True
1966-12,True,,True,True
1967-01,True,,True,True
1967-02,True,,True,True
1967-03,True,,True,True
1967-04,True,,True,True
1967-05,True,,True,True
1967-06,True,,True,True
1967-07,True,,True,True
1967-08,True,,True,True
1967-09,True,,True,True
1967-10,True,,True,True
1967-11,True,,True,True
1967-12,True,,True,True
1968-01,True,,True,True
1968-02,True,,True,True
1968-03,True,,True,True
1968-04,True,,True,True
1968-05,True,,True,True
1968-06,True,,True,True
1968-07,True,,True,True
1968-08,True,,True,True
1968-09,True,,True,True
1968-10,True,,True,True
1968-11,True,,True,True
1968-12,True,,True,True
1969-01,True,,True,True
1969-02,True,,True,True
1969-03,True,,True,True
1969-04,True,,True,True
1969-05,True,,True,True
1969-06,True,,True,True
1969-07,True,,True,True
1969-08,True,,True,True
1969-09,True,,True,True
1969-10,True,,True,True
1969-11,True,,True,True
1969-12,True,,True,True
1970-01,True,,True,True
1970-02,True,,True,True
1970-03,True,,True,True
1970-04,True,,True,True
1970-05,True,,True,True
1970-06,True,,True,True
1970-07,True,,True,True
1970-08,True,,True,True
1970-09,True,,True,True
1970-10,True,,True,True
1970-11,True,,True,True
1970-12,True,,True,True
1971-01,True,,True,True
1971-02,True,,True,True
1971-03,True,,True,True
1971-04,True,,True,True
1971-05,True,,True,True
1971-06,True,,True,True
1971-07,True,,True,True
1971-08,True,,True,True
1971-09,True,,True,True
1971-10,True,,True,True
1971-11,True,,True,True
1971-12,True,,True,True
1972-01,True,,True,True
1972-02,True,,True,True
1972-03,True,,True,True
1972-04,True,,True,True
1972-05,True,,True,True
1972-06,True,,True,True
1972-07,True,,True,True
1972-08,True,,True,True
1972-09,True,,True,True
1972-10,True,,True,True
1972-11,True,,True,True
1972-12,True,,True,True
1973-01,True,,True,True
1973-02,True,,True,True
1973-03,True,,True,True
1973-04,True,,True,True
1973-05,True,,True,True
1973-06,True,,True,True
1973-07,True,,True,True
1973-08,True,,True,True
1973-09,True,,True,True
1973-10,True,,True,True
1973-11,True,,True,True
1973-12,True,,True,True
1974-01,True,,True,True
1974-02,True,,True,True
1974-03,True,,True,True
1974-04,True,,True,True
1974-05,True,,True,True
1974-06,True,,True,True
1974-07,True,,True,True
1974-08,True,,True,True
1974-09,True,,True,True
1974-10,True,,True,True
1974-11,True,,True,True
1974-12,True,,True,True
1975-01,True,,True,True
1975-02,True,,True,True
1975-03,True,,True,True
1975-04,True,,True,True
1975-05,True,,True,True
1975-06,True,,True,True
1975-07,True,,True,True
1975-08,True,,True,True
1975-09,True,,True,True
1975-10,True,,True,True
1975-11,True,,True,True
1975-12,True,,True,True
1976-01,True,,True,True
1976-02,True,,True,True
1976-03,True,,True,True
1976-04,True,,True,True
1976-05,True,,True,True
1976-06,True,,True,True
1976-07,True,,True,True
1976-08,True,,True,True
1976-09,True,,True,True
1976-10,True,,True,True
1976-11,True,,True,True
1976-12,True,,True,True
1977-01,True,,True,True
1977-02,True,,True,True
1977-03,True,,True,True
1977-04,True,,True,True
1977-05,True,,True,True
1977-06,True,,True,True
1977-07,True,,True,True
1977-08,True,,True,True
1977-09,True,,True,True
1977-10,True,,True,True
1977-11,True,,True,True
1977-12,True,,True,True
1978-01,True,,True,True
1978-02,True,,True,True
1978-03,True,,True,True
1978-04,True,,True,True
1978-05,True,,True,True
1978-06,True,,True,True
1978-07,True,,True,True
1978-08,True,,True,True
1978-09,True,,True,True
1978-10,True,,True,True
1978-11,True,,True,True
1978-12,True,,True,True
1979-01,True,,True,True
1979-02,True,,True,True
1979-03,True,,True,True
1979-04,True,,True,True
1979-05,True,,True,True
1979-06,True,,True,True
1979-07,True,,True,True
1979-08,True,,True,True
1979-09,True,,True,True
1979-10,True,,True,True
1979-11,True,,True,True
1979-12,True,,True,True
1980-01,True,,True,True
1980-02,True,,True,True
1980-03,True,,True,True
1980-04,True,,True,True
1980-05,True,,True,True
1980-06,True,,True,True
1980-07,True,,True,True
1980-08,True,,True,True
1980-09,True,,True,True
1980-10,True,,True,True
1980-11,True,,True,True
1980-12,True,,True,True
1981-01,True,,True,True
1981-02,True,,True,True
1981-03,True,,True,True
1981-04,True,,True,True
1981-05,True,,True,True
1981-06,True,,True,True
1981-07,True,,True,True
1981-08,True,,True,True
1981-09,True,,True,True
1981-10,True,,True,True
1981-11,True,,True,True
1981-12,True,,True,True
1982-01,True,,True,True
1982-02,True,,True,True
1982-03,True,,True,True
1982-04,True,,True,True
1982-05,True,,True,True
1982-06,True,,True,True
1982-07,True,,True,True
1982-08,True,,True,True
1982-09,True,,True,True
1982-10,True,,True,True
1982-11,True,,True,True
1982-12,True,,True,True
1983-01,True,,True,True
1983-02,True,,True,True
1983-03,True,,True,True
1983-04,True,,True,True
1983-05,True,,True,True
1983-06,True,,True,True
1983-07,True,,True,True
1983-08,True,,True,True
1983-09,True,,True,True
1983-10,True,,True,True
1983-11,True,,True,True
1983-12,True,,True,True
1984-01,True,,True,True
1984-02,True,,True,True
1984-03,True,,True,True
1984-04,True,,True,True
1984-05,True,,True,True
1984-06,True,,True,True
1984-07,True,,True,True
1984-08,True,,True,True
1984-09,True,,True,True
1984-10,True,,True,True
1984-11,True,,True,True
1984-12,True,,True,True
1985-01,True,,True,True
1985-02,True,,True,True
1985-03,True,,True,True
1985-04,True,,True,True
1985-05,True,,True,True
1985-06,True,,True,True
1985-07,True,,True,True
1985-08,True,,True,True
1985-09,True,,True,True
1985-10,True,,True,True
1985-11,True,,True,True
1985-12,True,,True,True
1986-01,True,,True,True
1986-02,True,,True,True
1986-03,True,,True,True
1986-04,True,,True,True
1986-05,True,,True,True
1986-06,True,,True,True
1986-07,True,,True,True
1986-08,True,,True,True
1986-09,True,,True,True
1986-10,True,,True,True
1986-11,True,,True,True
1986-12,True,,True,True
1987-01,True,,True,True
1987-02,True,,True,True
1987-03,True,,True,True
1987-04,True,,True,True
1987-05,True,,True,True
1987-06,True,,True,True
1987-07,True,,True,True
1987-08,True,,True,True
1987-09,True,,True,True
1987-10,True,,True,True
1987-11,True,,True,True
1987-12,True,,True,True
1988-01,True,,True,True
1988-02,True,,True,True
1988-03,True,,True,True
1988-04,True,,True,True
1988-05,True,,True,True
1988-06,True,,True,True
1988-07,True,,True,True
1988-08,True,,True,True
1988-09,True,,True,True
1988-10,True,,True,True
1988-11,True,,True,True
1988-12,True,,True,True
1989-01,True,,True,True
1989-02,True,,True,True
1989-03,True,,True,True
1989-04,True,,True,True
1989-05,True,,True,True
1989-06,True,,True,True
1989-07,True,,True,True
1989-08,True,,True,True
1989-09,True,,True,True
1989-10,True,,True,True
1989-11,True,,True,True
1989-12,True,,True,True
1990-01,True,,True,True
1990-02,True,,True,True
1990-03,True,,True,True
1990-04,True,,True,True
1990-05,True,,True,True
1990-06,True,,True,True
1990-07,True,,True,True
1990-08,True,,True,True
1990-09,True,,True,True
1990-10,True,,True,True
1990-11,True,,True,True
1990-12,True,,True,True
1991-01,True,,True,True
1991-02,True,,True,True
1991-03,True,,True,True
1991-04,True,,True,True
1991-05,True,,True,True
1991-06,True,,True,True
1991-07,True,,True,True
1991-08,True,,True,True
1991-09,True,,True,True
1991-10,True,,True,True
1991-11,True,,True,True
1991-12,True,,True,True
1992-01,True,,True,True
1992-02,True,,True,True
1992-03,True,,True,True
1992-04,True,,True,True
1992-05,True,,True,True
1992-06,True,,True,True
1992-07,True,,True,True
1992-08,True,,True,True
1992-09,True,,True,True
1992-10,True,,True,True
1992-11,True,,True,True
1992-12,True,,True,True
1993-01,True,,True,True
1993-02,True,,True,True
1993-03,True,,True,True
1993-04,True,,True,True
1993-05,True,,True,True
1993-06,True,,True,True
1993-07,True,,True,True
1993-08,True,,True,True
1993-09,True,,True,True
1993-10,True,,True,True
1993-11,True,,True,True
1993-12,True,,True,True
1994-01,True,,True,True
1994-02,True,,True,True
1994-03,True,,True,True
1994-04,True,,True,True
1994-05,True,,True,True
1994-06,True,,True,True
1994-07,True,,True,True
1994-08,True,,True,True
1994-09,True,,True,True
1994-10,True,,True,True
1994-11,True,,True,True
1994-12,True,,True,True
1995-01,True,,True,True
1995-02,True,,True,True
1995-03,True,,True,True
1995-04,True,,True,True
1995-05,True,,True,True
1995-06,True,,True,True
1995-07,True,,True,True
1995-08,True,,True,True
1995-09,True,,True,True
1995-10,True,,True,True
1995-11,True,,True,True
1995-12,True,,True,True
1996-01,True,,True,True
1996-02,True,,True,True
1996-03,True,,True,True
1996-04,True,,True,True
1996-05,True,,True,True
1996-06,True,,True,True
1996-07,True,,True,True
1996-08,True,,True,True
1996-09,True,,True,True
1996-10,True,,True,True
1996-11,True,,True,True
1996-12,True,,True,True
1997-01,True,,True,True
1997-02,True,,True,True
1997-03,True,,True,True
1997-04,True,,True,True
1997-05,True,,True,True
1997-06,True,,True,True
1997-07,True,,True,True
1997-08,True,,True,True
1997-09,True,,True,True
1997-10,True,,True,True
1997-11,True,,True,True
1997-12,True,,True,True
1998-01,True,,True,True
1998-02,True,,True,True
1998-03,True,,True,True
1998-04,True,,True,True
1998-05,True,,True,True
1998-06,True,,True,True
1998-07,True,,True,True
1998-08,True,,True,True
1998-09,True,,True,True
1998-10,True,,True,True
1998-11,True,,True,True
1998-12,True,,True,True
1999-01,True,,True,True
1999-02,True,,True,True
1999-03,True,,True,True
1999-04,True,,True,True
1999-05,True,,True,True
1999-06,True,,True,True
1999-07,True,,True,True
1999-08,True,,True,True
1999-09,True,,True,True
1999-10,True,,True,True
1999-11,True,,True,True
1999-12,True,,True,True
2000-01,True,,True,True
2000-02,True,,True,True
2000-03,True,,True,True
2000-04,True,,True,True
2000-05,True,,True,True
2000-06,True,,True,True
2000-07,True,,True,True
2000-08,True,,True,True
2000-09,True,,True,True
2000-10,True,,True,True
2000-11,True,,True,True
2000-12,True,,True,True
