month,original_expanding_recomputed,review_expanding_recomputed,original_full_history_diagnostic
1964-07,25.267928,21.49393441,33.14998067
1964-08,27.55718453,27.08936306,32.85106486
1964-09,26.32448028,28.64807662,31.32851426
1964-10,26.93468486,24.35385413,31.72917034
1964-11,25.4514085,22.21526572,31.29826578
1964-12,28.1898619,24.70646536,32.81076159
1965-01,27.37599436,32.62740816,32.14016975
1965-02,28.7140359,32.91870625,32.29257078
1965-03,27.18426715,33.01277807,31.03614162
1965-04,26.75278415,33.80224166,30.98427591
1965-05,25.83402314,30.88051625,29.11742719
1965-06,24.21456287,28.62367689,25.73290134
1965-07,24.92291535,24.60670897,26.70140759
1965-08,24.27574841,26.76693589,26.65359437
1965-09,24.89588464,28.57790747,27.91299528
1965-10,24.18401061,28.93621732,26.3164161
1965-11,24.08806242,32.72003108,26.24872209
1965-12,23.91206759,28.33658445,26.51539396
1966-01,24.6869168,30.84327512,26.48550014
1966-02,22.56403329,32.45692503,24.82466842
1966-03,22.20873208,27.88692925,24.8628326
1966-04,23.2485847,25.23785146,24.73859218
1966-05,21.95702527,25.70508645,24.64694695
1966-06,21.80393335,28.265178,27.64836712
1966-07,22.52604996,27.79358599,28.22210938
1966-08,20.8714446,28.129092,24.94114217
1966-09,22.6189872,29.51087162,26.63499389
1966-10,24.36703735,34.3773936,29.88765894
1966-11,24.55755222,36.98070469,29.94653151
1966-12,23.13895696,46.84541635,28.82312929
1967-01,20.19956296,45.83239862,28.78613967
1967-02,22.03343278,43.25163719,30.6560545
1967-03,21.54178256,42.29166526,30.73728606
1967-04,21.3114277,35.23111757,30.47862979
1967-05,22.29704442,33.58401347,32.32382967
1967-06,23.50459584,32.19538558,30.87107819
1967-07,21.98601128,35.07699256,28.54578379
1967-08,22.83299999,27.25334783,32.65752966
1967-09,24.01116002,27.2466757,33.0393061
1967-10,23.66008052,32.58924075,30.7366662
1967-11,19.5667992,27.8204566,27.69629606
1967-12,19.33884911,22.71549816,29.8989054
1968-01,25.2790402,31.15771606,30.10603878
1968-02,31.28150458,25.93015097,34.88763542
1968-03,31.89943526,27.82838612,35.19870304
1968-04,32.85018439,33.56414284,36.07311911
1968-05,28.87791735,36.79132739,33.50790593
1968-06,30.71374876,41.94831993,35.35633462
1968-07,29.33805202,44.63482544,33.79689094
1968-08,28.16209927,41.44999606,32.62857946
1968-09,29.70004236,41.66566893,33.89330644
1968-10,28.88382375,43.46809584,33.42667299
1968-11,31.47374847,36.97266112,35.59357658
1968-12,29.79472131,42.07249914,34.63471043
1969-01,30.66692236,39.49940247,35.09672894
1969-02,34.82137707,34.81112527,37.39764069
1969-03,32.62586584,27.25686826,35.83667558
1969-04,34.80172255,27.82396149,37.5509695
1969-05,28.06659692,29.7774173,33.07448941
1969-06,30.16414342,34.04597279,34.5684154
1969-07,33.40528534,32.46249467,37.67249825
1969-08,35.17092074,37.3016606,39.16582943
1969-09,33.68985031,44.12117156,37.9937759
1969-10,34.79919137,43.92322032,38.39009484
1969-11,30.24607456,43.0673953,35.5065884
1969-12,33.15705124,46.55426551,38.05602921
1970-01,34.9425715,48.49551213,38.32794904
1970-02,33.56947279,47.62514632,34.23891237
1970-03,32.90719799,48.15891264,34.64024853
1970-04,32.0233455,44.82807652,34.09103322
1970-05,37.78922385,48.05525239,38.20608609
1970-06,37.22161383,49.64372172,37.63153419
1970-07,36.62591753,45.61472603,36.50882735
1970-08,37.63727406,50.54609367,38.9124117
1970-09,38.91863175,59.66217756,40.360545
1970-10,40.1626762,60.71706072,41.63616602
1970-11,43.69711302,61.8214512,44.6192237
1970-12,43.70504254,58.29425435,45.3129954
1971-01,41.71346466,58.07611762,43.52421815
1971-02,43.13247951,58.71945378,45.26615615
1971-03,41.04021161,56.15410276,42.81407885
1971-04,38.50182252,55.24858818,40.59969479
1971-05,40.31168045,53.75747195,41.86210631
1971-06,37.69458113,51.80534154,39.80072513
1971-07,36.43307445,50.51694194,38.19083088
1971-08,35.82535625,46.39680422,38.26198912
1971-09,33.28564818,50.134087,36.02409128
1971-10,32.13525495,47.82841861,34.64439649
1971-11,31.37963929,47.75701899,34.26473868
1971-12,30.81645769,50.16825278,33.86324219
1972-01,33.56511609,50.53308215,35.45931867
1972-02,33.67783976,51.97821674,35.35573778
1972-03,35.49444996,51.73428889,38.78860964
1972-04,32.76674522,51.10940794,35.57575729
1972-05,31.28846773,51.22727171,33.56673374
