specification,rank,month,distance,n_dimensions
original_expanding_recomputed,1,2007-10,10.39424405,11
original_expanding_recomputed,2,2021-07,12.30993496,11
original_expanding_recomputed,3,1996-02,17.07224695,11
original_expanding_recomputed,4,2001-02,17.80390301,11
original_expanding_recomputed,5,1967-12,19.33884911,10
original_expanding_recomputed,6,2014-05,23.28140036,11
original_expanding_recomputed,7,1973-02,24.74246358,11
original_expanding_recomputed,8,1978-10,28.26277195,11
review_expanding_recomputed,1,2000-03,14.41829344,6
review_expanding_recomputed,2,2017-10,15.80633013,6
review_expanding_recomputed,3,2005-03,16.64098151,6
review_expanding_recomputed,4,1964-07,21.49393441,6
review_expanding_recomputed,5,1993-11,24.36104431,6
review_expanding_recomputed,6,2011-07,29.01020926,6
review_expanding_recomputed,7,1973-04,31.29471336,6
review_expanding_recomputed,8,1988-11,37.76085065,6
original_full_history_diagnostic,1,2021-07,13.57678768,11
original_full_history_diagnostic,2,2007-10,14.45908629,11
original_full_history_diagnostic,3,2001-02,20.27836533,11
original_full_history_diagnostic,4,1996-02,22.65695586,11
original_full_history_diagnostic,5,1966-05,24.64694695,11
original_full_history_diagnostic,6,2014-07,25.02191076,11
original_full_history_diagnostic,7,1973-02,26.35605128,11
original_full_history_diagnostic,8,1978-10,30.6049539,11
