specification,horizon_years,return_basis,asset,n,median,mean,minimum,maximum,negative_pct
original_expanding_recomputed,1,nominal,MKT,8,1.70905511,0.1983629902,-35.95250516,22.20337507,50
original_expanding_recomputed,1,nominal,CASH,8,4.187528994,4.144035909,0,9.881018659,0
original_expanding_recomputed,1,nominal,NoDur,8,8.308218846,5.445540618,-20.84337607,27.48072808,25
original_expanding_recomputed,1,nominal,Durbl,8,6.508812738,-4.116719089,-59.64930058,16.15149477,25
original_expanding_recomputed,1,nominal,Manuf,8,2.978255441,-0.4520269673,-44.23261958,27.12551882,37.5
original_expanding_recomputed,1,nominal,Enrgy,8,13.13338967,16.44239352,-28.87939287,73.43571974,37.5
original_expanding_recomputed,1,nominal,Chems,8,5.304264093,1.897640477,-22.71537645,26.07035842,37.5
original_expanding_recomputed,1,nominal,BusEq,8,-6.968773475,-6.268257335,-40.32596001,21.42923025,62.5
original_expanding_recomputed,1,nominal,Telcm,8,1.897277222,-7.565109639,-39.78255613,10.60901449,50
original_expanding_recomputed,1,nominal,Utils,8,6.54921448,0.4395084722,-27.51122621,16.94055596,37.5
original_expanding_recomputed,1,nominal,Shops,8,8.444786018,2.826217404,-24.55552442,27.72019167,37.5
original_expanding_recomputed,1,nominal,Hlth,8,2.10380514,3.392900396,-19.76024138,28.04459852,50
original_expanding_recomputed,1,nominal,Money,8,7.805072558,8.207784799,-48.11829485,53.28953396,50
original_expanding_recomputed,1,nominal,Other,8,-0.7661060331,-1.92382489,-40.69494974,23.74000386,50
original_expanding_recomputed,1,nominal,BusEq minus MKT,8,-5.104194648,-6.466620325,-16.3499743,4.612505376,87.5
original_expanding_recomputed,1,nominal,Chems minus MKT,8,1.253027314,1.699277487,-7.790225135,16.61216475,50
original_expanding_recomputed,1,nominal,Durbl minus MKT,8,-6.550102575,-4.315082079,-23.69679542,17.09904273,75
original_expanding_recomputed,1,nominal,Enrgy minus MKT,8,8.253370093,16.24403053,-30.36962531,81.95721993,12.5
original_expanding_recomputed,1,nominal,Hlth minus MKT,8,0.1424241131,3.194537405,-4.041587845,16.19226378,50
original_expanding_recomputed,1,nominal,Manuf minus MKT,8,-2.5020782,-0.6503899575,-8.280114416,10.38401503,62.5
original_expanding_recomputed,1,nominal,Money minus MKT,8,4.707962453,8.009421808,-12.16578969,39.15444862,12.5
original_expanding_recomputed,1,nominal,NoDur minus MKT,8,7.772856541,5.247177628,-8.925142381,15.15891404,37.5
original_expanding_recomputed,1,nominal,Other minus MKT,8,-2.964477811,-2.12218788,-13.11529956,9.125553287,75
original_expanding_recomputed,1,nominal,Shops minus MKT,8,3.633672719,2.627854414,-11.2488154,15.17047602,50
original_expanding_recomputed,1,nominal,Telcm minus MKT,8,-9.161430188,-7.76347263,-19.155208,16.60175289,87.5
original_expanding_recomputed,1,nominal,Utils minus MKT,8,-1.790163146,0.241145482,-14.56775292,25.46205615,62.5
original_expanding_recomputed,1,real,MKT,8,-1.728446066,-4.800573228,-38.25620201,18.60690755,50
original_expanding_recomputed,1,real,CASH,8,-0.7645421052,-1.118817314,-7.636246486,2.124208919,62.5
original_expanding_recomputed,1,real,NoDur,8,1.783953209,0.3601322918,-25.87432397,23.7289471,50
original_expanding_recomputed,1,real,Durbl,8,-0.01485714063,-8.901050887,-61.10065756,12.73313519,50
original_expanding_recomputed,1,real,Manuf,8,1.613901796,-5.406207012,-46.23849254,23.38419172,37.5
original_expanding_recomputed,1,real,Enrgy,8,7.70992916,9.871504143,-31.43749945,59.90374281,50
original_expanding_recomputed,1,real,Chems,8,0.6552206631,-3.081239955,-25.4951939,22.36008488,50
original_expanding_recomputed,1,real,BusEq,8,-12.58780681,-10.90756846,-42.47234993,17.85554595,62.5
original_expanding_recomputed,1,real,Telcm,8,-8.204553072,-12.22974811,-41.94849152,8.907786193,62.5
original_expanding_recomputed,1,real,Utils,8,0.4973777182,-4.670743921,-30.11854379,7.816501772,50
original_expanding_recomputed,1,real,Shops,8,1.906368084,-2.037036874,-30.77149362,21.97995833,50
original_expanding_recomputed,1,real,Hlth,8,-1.208187034,-1.589249285,-24.21946857,27.99975609,50
original_expanding_recomputed,1,real,Money,8,2.554802549,2.866835329,-49.98440563,46.4001167,50
original_expanding_recomputed,1,real,Other,8,-1.878403292,-6.887497321,-42.82806763,17.72083464,50
original_expanding_recomputed,1,real,BusEq minus MKT,8,-4.635021749,-6.106995232,-16.16626672,4.610890032,87.5
original_expanding_recomputed,1,real,Chems minus MKT,8,1.15941881,1.719333274,-7.673254235,16.42551121,50
original_expanding_recomputed,1,real,Durbl minus MKT,8,-6.369093651,-4.100477659,-22.84445556,15.76492394,75
original_expanding_recomputed,1,real,Enrgy minus MKT,8,8.003484234,14.67207737,-30.35898958,75.56267093,12.5
original_expanding_recomputed,1,real,Hlth minus MKT,8,0.1595199145,3.211323943,-3.703994774,16.09934799,50
original_expanding_recomputed,1,real,Manuf minus MKT,8,-2.350074719,-0.6056337832,-7.982290535,10.26734071,62.5
original_expanding_recomputed,1,real,Money minus MKT,8,4.492609643,7.667408558,-11.72820362,37.39469812,12.5
original_expanding_recomputed,1,real,NoDur minus MKT,8,7.464450148,5.16070552,-7.963790609,14.98858916,37.5
original_expanding_recomputed,1,real,Other minus MKT,8,-2.825256014,-2.086924093,-12.72931391,8.71541606,75
original_expanding_recomputed,1,real,Shops minus MKT,8,3.698556613,2.763536355,-10.22619582,15.00002123,50
original_expanding_recomputed,1,real,Telcm minus MKT,8,-8.52716315,-7.42917488,-17.89351016,15.09250262,87.5
original_expanding_recomputed,1,real,Utils minus MKT,8,-1.730339644,0.1298293071,-14.1390213,23.47542988,62.5
original_expanding_recomputed,3,nominal,MKT,8,13.81558882,24.88896243,-15.46580282,89.16011346,25
original_expanding_recomputed,3,nominal,CASH,8,12.86050838,14.51755267,0.4408971234,40.24480283,0
original_expanding_recomputed,3,nominal,NoDur,8,20.00004958,26.9263053,-1.840834734,63.98852632,12.5
original_expanding_recomputed,3,nominal,Durbl,8,9.091338451,15.02340873,-14.12207951,85.25553561,37.5
original_expanding_recomputed,3,nominal,Manuf,8,19.97605563,19.9389678,-14.57754983,58.22648199,25
original_expanding_recomputed,3,nominal,Enrgy,8,13.3902538,34.19406489,-27.22075553,130.9645953,25
original_expanding_recomputed,3,nominal,Chems,8,18.76578503,21.62491754,2.866744005,51.79326133,0
original_expanding_recomputed,3,nominal,BusEq,8,17.3847785,28.20121992,-19.01965432,141.3284298,50
original_expanding_recomputed,3,nominal,Telcm,8,18.20593314,20.76715602,-34.66068884,122.6070091,37.5
original_expanding_recomputed,3,nominal,Utils,8,18.3171817,16.60384856,-12.19146251,41.00924579,25
original_expanding_recomputed,3,nominal,Shops,8,25.01240807,33.68828102,-9.693159638,112.0368525,12.5
original_expanding_recomputed,3,nominal,Hlth,8,18.81937784,27.55095437,-25.79551725,113.0188799,37.5
original_expanding_recomputed,3,nominal,Money,8,29.56765106,30.26395747,-46.51509159,103.3212287,25
original_expanding_recomputed,3,nominal,Other,8,8.587190677,16.69364877,-24.79921969,97.30795799,50
original_expanding_recomputed,3,nominal,BusEq minus MKT,8,0.7080606325,3.312257493,-24.00890589,52.16831632,50
original_expanding_recomputed,3,nominal,Chems minus MKT,8,-5.409539974,-3.264044891,-37.36685213,28.2614718,50
original_expanding_recomputed,3,nominal,Durbl minus MKT,8,-2.051602533,-9.865553703,-45.62433513,17.18099315,62.5
original_expanding_recomputed,3,nominal,Enrgy minus MKT,8,8.340902929,9.305102458,-60.23684808,89.55575078,37.5
original_expanding_recomputed,3,nominal,Hlth minus MKT,8,2.78359636,2.66199194,-24.15234272,25.15477594,50
original_expanding_recomputed,3,nominal,Manuf minus MKT,8,-3.954116294,-4.949994628,-30.93363147,16.73256866,62.5
original_expanding_recomputed,3,nominal,Money minus MKT,8,9.163242482,5.374995044,-31.04928878,29.14663361,25
original_expanding_recomputed,3,nominal,NoDur minus MKT,8,3.282716369,2.037342874,-33.64978346,25.33549079,50
original_expanding_recomputed,3,nominal,Other minus MKT,8,-5.307265311,-8.195313666,-52.5220537,32.61858595,87.5
original_expanding_recomputed,3,nominal,Shops minus MKT,8,9.533117785,8.799318593,-8.049985112,26.68356632,37.5
original_expanding_recomputed,3,nominal,Telcm minus MKT,8,-0.4122241097,-4.121806409,-48.36056274,33.44689562,50
original_expanding_recomputed,3,nominal,Utils minus MKT,8,-1.571206796,-8.285113868,-51.66926537,9.941942554,50
original_expanding_recomputed,3,real,MKT,8,2.545805678,9.234165408,-24.34090348,78.01953604,50
original_expanding_recomputed,3,real,CASH,8,-1.256776857,-0.4921747823,-6.043960231,9.132401356,62.5
original_expanding_recomputed,3,real,NoDur,8,10.17590431,11.23895257,-24.4929498,46.35155525,25
original_expanding_recomputed,3,real,Durbl,8,-12.09980045,1.398661685,-24.49369365,74.34491815,62.5
original_expanding_recomputed,3,real,Manuf,8,5.55822784,5.003675015,-21.81012929,48.90773958,37.5
original_expanding_recomputed,3,real,Enrgy,8,1.161733748,14.7942261,-29.33430173,86.59789775,50
original_expanding_recomputed,3,real,Chems,8,1.219926829,6.551844518,-12.12388703,42.85340319,50
original_expanding_recomputed,3,real,BusEq,8,-4.536465116,13.37179008,-30.60149764,127.1154014,50
original_expanding_recomputed,3,real,Telcm,8,-3.992173952,5.562781767,-38.4053628,109.4965781,62.5
