indicator_id,event,horizon_months,split,contract_field,value
claims_rise,recession_present_or_onset,12,all,primary_hits_over_alarms,9/13
claims_rise,recession_onset,12,all,alternative_hits_over_alarms,4/8
claims_rise,recession_present_or_onset,12,holdout_2000plus,holdout_hits_over_alarms,3/5
sahm,recession_present_or_onset,12,all,primary_hits_over_alarms,8/11
sahm,recession_onset,12,all,alternative_hits_over_alarms,1/4
sahm,recession_present_or_onset,12,holdout_2000plus,holdout_hits_over_alarms,2/4
credit_change,recession_present_or_onset,12,all,primary_hits_over_alarms,2/2
credit_change,recession_onset,12,all,alternative_hits_over_alarms,undefined_n0
credit_change,recession_present_or_onset,12,holdout_2000plus,holdout_hits_over_alarms,2/2
credit_level,recession_present_or_onset,12,all,primary_hits_over_alarms,3/8
credit_level,recession_onset,12,all,alternative_hits_over_alarms,1/6
credit_level,recession_present_or_onset,12,holdout_2000plus,holdout_hits_over_alarms,3/7
nfci,recession_present_or_onset,12,all,primary_hits_over_alarms,5/9
nfci,recession_onset,12,all,alternative_hits_over_alarms,3/7
nfci,recession_present_or_onset,12,holdout_2000plus,holdout_hits_over_alarms,3/3
curve,recession_onset,24,all,primary_hits_over_alarms,6/8
curve,recession_onset,12,all,alternative_hits_over_alarms,5/9
curve,recession_onset,24,holdout_2000plus,holdout_hits_over_alarms,3/4
inflation,equity_entry_loss_20,12,all,primary_hits_over_alarms,2/7
inflation,inflation_onset_400,12,all,alternative_hits_over_alarms,2/2
inflation,equity_entry_loss_20,12,holdout_2000plus,holdout_hits_over_alarms,1/3
inflation_acceleration,equity_entry_loss_20,12,all,primary_hits_over_alarms,2/7
inflation_acceleration,inflation_onset_400,12,all,alternative_hits_over_alarms,undefined_n0
inflation_acceleration,equity_entry_loss_20,12,holdout_2000plus,holdout_hits_over_alarms,1/3
