window,specification,sample,month,cape_pct,credit_pct
matched_screen,unconditional_same_eligible_months,monthly_pool,1964-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1964-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1964-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1964-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1964-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1964-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1965-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1966-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1967-10,,
