specification,horizon_years,return_basis,asset,window,sample,n,median,mean,minimum,maximum,negative_pct
unconditional_same_eligible_months,1,nominal,MKT,matched_screen,monthly_pool,684,13.52140648,11.79795087,-42.5673857,67.01839753,21.92982456
unconditional_same_eligible_months,1,nominal,CASH,matched_screen,monthly_pool,684,4.802511954,4.555306588,0,15.21787816,0
unconditional_same_eligible_months,1,nominal,NoDur,matched_screen,monthly_pool,684,13.27036108,13.23842876,-45.30344304,63.43355217,20.02923977
unconditional_same_eligible_months,1,nominal,Durbl,matched_screen,monthly_pool,684,8.524229331,13.1902035,-65.12117332,260.8320136,33.1871345
unconditional_same_eligible_months,1,nominal,Manuf,matched_screen,monthly_pool,684,13.64745552,12.44779951,-54.53872077,84.18216355,25.73099415
unconditional_same_eligible_months,1,nominal,Enrgy,matched_screen,monthly_pool,684,12.96013437,12.37850338,-54.39154299,97.83660381,26.9005848
unconditional_same_eligible_months,1,nominal,Chems,matched_screen,monthly_pool,684,11.36275164,11.34957907,-40.52363707,61.95261293,23.24561404
unconditional_same_eligible_months,1,nominal,BusEq,matched_screen,monthly_pool,684,13.25623893,13.87487376,-63.43139899,104.9627011,25.14619883
unconditional_same_eligible_months,1,nominal,Telcm,matched_screen,monthly_pool,684,10.21785098,10.97802035,-46.0556282,73.731335,25.58479532
unconditional_same_eligible_months,1,nominal,Utils,matched_screen,monthly_pool,684,11.38259611,10.40868624,-36.66088963,51.01052983,22.51461988
unconditional_same_eligible_months,1,nominal,Shops,matched_screen,monthly_pool,684,12.76247279,13.34284049,-47.88343746,106.5029189,24.12280702
unconditional_same_eligible_months,1,nominal,Hlth,matched_screen,monthly_pool,684,13.06299469,13.41659988,-43.6008658,63.45861692,23.68421053
unconditional_same_eligible_months,1,nominal,Money,matched_screen,monthly_pool,684,12.78934526,13.00791231,-61.82905708,79.86940217,26.60818713
unconditional_same_eligible_months,1,nominal,Other,matched_screen,monthly_pool,684,12.47837296,10.40624668,-53.13817421,83.5060222,27.33918129
