theme,bravos_first,bravos_file,bravos_time,jikh_first,jikh_file,jikh_time,jikh_minus_bravos_days
ai_tech,2026-03-26,bravos_2026-03-26_d2xewVN_eDE.txt,8:30,2026-03-16,jikh_2026-03-16_jQUUAEemvSE.txt,6:20,-10
china_deglobalization,2026-08-11,bravos_2026-08-11_ZZ7HyZu8FbE.txt,0:28,2026-03-31,jikh_2026-03-31_Dt45p4wuNow.txt,3:49,-133
crypto,2026-07-07,bravos_2026-07-07_J0qxWVhXd4o.txt,1:36,2026-05-26,jikh_2026-05-26_w8yTmTdF1Kw.txt,4:22,-42
debt_credit,2026-04-02,bravos_2026-04-02_XDDBhShILQA.txt,4:10,2026-03-16,jikh_2026-03-16_jQUUAEemvSE.txt,0:13,-17
dollar_fx,2026-03-20,bravos_2026-03-20_Qwvqz6K1Dyc.txt,0:46,2026-03-16,jikh_2026-03-16_jQUUAEemvSE.txt,15:58,-4
gold_silver,2026-04-20,bravos_2026-04-20_qaxPhSP8jbg.txt,1:56,2026-03-16,jikh_2026-03-16_jQUUAEemvSE.txt,19:13,-35
housing,2026-03-20,bravos_2026-03-20_Qwvqz6K1Dyc.txt,3:54,2026-03-16,jikh_2026-03-16_jQUUAEemvSE.txt,0:16,-4
inflation,2026-03-20,bravos_2026-03-20_Qwvqz6K1Dyc.txt,3:29,2026-03-16,jikh_2026-03-16_jQUUAEemvSE.txt,12:58,-4
liquidity_rates,2026-04-02,bravos_2026-04-02_XDDBhShILQA.txt,2:17,2026-03-16,jikh_2026-03-16_jQUUAEemvSE.txt,0:56,-17
oil_energy,2026-03-20,bravos_2026-03-20_Qwvqz6K1Dyc.txt,0:00,2026-03-16,jikh_2026-03-16_jQUUAEemvSE.txt,3:04,-4
recession_labor,2026-04-08,bravos_2026-04-08_Nyb4yfSUlT4.txt,0:50,2026-03-16,jikh_2026-03-16_jQUUAEemvSE.txt,3:17,-23
rotation_manufacturing,2026-03-26,bravos_2026-03-26_d2xewVN_eDE.txt,7:01,2026-03-31,jikh_2026-03-31_Dt45p4wuNow.txt,3:56,5
valuation_bubble,2026-03-26,bravos_2026-03-26_d2xewVN_eDE.txt,5:00,2026-06-05,jikh_2026-06-05_yhRjvX_t4hc.txt,3:06,71
