video_id,publish_date,title,source_file,file_sha256,first_pass_words,first_pass_segments,last_timestamp_seconds,length_seconds,full_semantic_read,read_scope
r4xoOQ32KNM,2026-06-24T09:01:47-07:00,The Iran Deal Just Broke The Global Economy,corpus/transcripts/jikh_2026-06-24_r4xoOQ32KNM.txt,ec6b04faa0b1ee3a25ccedb54c7a4e79222a4f7a5d461972efaccc3e3d2b03de,4376,214,1605,1613,True,Complete first timestamp pass; truncated displays re-read
Z_xvkbGWauU,2026-06-30T09:00:25-07:00,China Just Shut Down Gold Trading,corpus/transcripts/jikh_2026-06-30_Z_xvkbGWauU.txt,131739f8d45817e7bb9811ea68f48f0752beda45470b4249f3e400758ec51537,4261,605,1529,1531,True,Complete first timestamp pass; truncated displays re-read
siazPdsZHuI,2026-07-07T16:05:52-07:00,China Is About To Pop The AI Bubble,corpus/transcripts/jikh_2026-07-07_siazPdsZHuI.txt,65803ed37fa11582c3ae8264b9316b15bb52cea3841e4185972276f03e608dd6,5407,248,1843,1847,True,Complete first timestamp pass; truncated displays re-read
dFjvcY9Tth0,2026-07-15T13:00:19-07:00,"China Is Preparing For $38,000 Gold",corpus/transcripts/jikh_2026-07-15_dFjvcY9Tth0.txt,6016a24483be07edea5bed5a9375c8b339492b1425f3982187a0505b2fb3bb7e,5056,288,1816,1823,True,Complete first timestamp pass; truncated displays re-read
hy90LdpEUvQ,2026-07-20T09:18:04-07:00,South Korea’s AI Bubble Just Popped,corpus/transcripts/jikh_2026-07-20_hy90LdpEUvQ.txt,86e44e2b488d082f5ad30e23c2dbced0d2e67bb6146e6e8d37e337fba1851955,3975,581,1508,1510,True,Complete first timestamp pass; truncated displays re-read
YBhwK-VWsxY,2026-07-28T12:47:35-07:00,Japan's Money Is Collapsing,corpus/transcripts/jikh_2026-07-28_YBhwK-VWsxY.txt,fa0833c0a08913d453b5c74f3e6dae1c375a0d02e8b849481cef3c19f71dd9e9,4790,701,1780,1782,True,Complete first timestamp pass; truncated displays re-read
dlaVKt9-Tfg,2026-08-05T14:16:11-07:00,The U.S. Is Now Buying Yen,corpus/transcripts/jikh_2026-08-05_dlaVKt9-Tfg.txt,38acee8194b968307b8465641abb9b39f67759caf501ef6474d3ed5ef3620a90,4379,194,1518,1527,True,Complete first timestamp pass; truncated displays re-read
Uw84lTiD5C8,2026-08-10T11:53:17-07:00,Russia Just Legalized Crypto,corpus/transcripts/jikh_2026-08-10_Uw84lTiD5C8.txt,28a11fb1b31c6e1c1f60d7a757b6e60d3fcdbe2665a3c53af8bff43b60b0cada,3755,550,1292,1295,True,Complete first timestamp pass; truncated displays re-read
_YXDHskRP6Y,2026-08-19T16:13:14-07:00,Here's What Pops This Stock Bubble,corpus/transcripts/jikh_2026-08-19__YXDHskRP6Y.txt,18566ddd4ca4bd9ad9a2568b6ad809e228f627c8b9c4c92de388c39c44c73af8,4290,633,1507,1509,True,Complete first timestamp pass; truncated displays re-read
gVksaXViB4E,2026-08-25T10:05:09-07:00,America Is Sacrificing The Dollar,corpus/transcripts/jikh_2026-08-25_gVksaXViB4E.txt,079214c879698b989bba59d9949b053f3bcf2b5aa6258859bc1ccc577cdf7369,5202,234,1829,1838,True,Complete first timestamp pass; truncated displays re-read
NZpobX6MQVA,2026-09-02T11:00:21-07:00,Trump Will Cause The Next Financial Crisis,corpus/transcripts/jikh_2026-09-02_NZpobX6MQVA.txt,cf961a3720b45feeae76f3443e5e55d5331e4c09f5d5e61764f887ea4915df2a,4632,207,1620,1624,True,Complete first timestamp pass; truncated displays re-read
iBxWsP8k9XM,2026-09-10T10:42:30-07:00,Trump’s Tariff War Just Went Nuclear,corpus/transcripts/jikh_2026-09-10_iBxWsP8k9XM.txt,626b76cce339202ab5eeb97fb39620c925f53b11a13172c9bf95380d7bda3537,5042,736,1726,1728,True,Complete first timestamp pass; truncated displays re-read
xSXNSt0m-go,2026-09-16T11:03:57-07:00,Prepare For The Al Take Over,corpus/transcripts/jikh_2026-09-16_xSXNSt0m-go.txt,11516ab0d1f6a462d685e1677d291226e5eea2037393786c62f9a5bb9387afe2,4891,221,1775,1779,True,Complete first timestamp pass; truncated displays re-read
