channel,month,n_videos,words,certainty,hedge,urgency,correction,certainty_per_1k,hedge_per_1k,urgency_per_1k,correction_per_1k
bravos,2026-03,2,3393,15,17,2,0,4.420866489832007,5.010315355142941,0.5894488653109342,0.0
bravos,2026-04,5,10604,23,51,11,0,2.1689928328932475,4.809505846850245,1.037344398340249,0.0
bravos,2026-05,6,10431,26,49,22,0,2.4925702233726392,4.697536190202282,2.1090978813153103,0.0
bravos,2026-06,6,10449,27,38,11,0,2.5839793281653747,3.6367116470475644,1.0527323188821898,0.0
bravos,2026-07,2,3273,4,17,5,0,1.2221203788573174,5.194011610143599,1.5276504735716467,0.0
bravos,2026-08,8,18227,36,77,24,0,1.9750918966368571,4.224502112251057,1.3167279310912383,0.0
bravos,2026-09,4,14656,20,80,28,0,1.3646288209606987,5.458515283842795,1.910480349344978,0.0
jikh,2026-03,2,9017,19,66,12,0,2.10713097482533,7.319507596761673,1.330819563047577,0.0
jikh,2026-04,2,8484,47,26,30,0,5.539839698255539,3.0645921735030646,3.536067892503536,0.0
jikh,2026-05,4,18866,49,83,28,0,2.597264921021944,4.399448743771865,1.484151383441111,0.0
jikh,2026-06,6,27967,108,109,26,0,3.8616941395215787,3.8974505667393715,0.9296671076626024,0.0
jikh,2026-07,4,19318,42,68,26,0,2.1741381095351486,3.520033129723574,1.3458950201884252,0.0
jikh,2026-08,4,17713,33,60,19,0,1.8630384463388472,3.387342629706995,1.072658499407215,0.0
jikh,2026-09,3,14630,40,77,33,0,2.7341079972658924,5.263157894736842,2.255639097744361,0.0
