channel,month,theme,mentions,substantial_videos,words,n_videos,mentions_per_1k
bravos,2026-03,ai_tech,5,1,3393,2,1.4736221632773356
bravos,2026-03,china_deglobalization,0,0,3393,2,0.0
bravos,2026-03,crypto,1,0,3393,2,0.2947244326554671
bravos,2026-03,debt_credit,0,0,3393,2,0.0
bravos,2026-03,digital_control,0,0,3393,2,0.0
bravos,2026-03,dollar_fx,7,1,3393,2,2.06307102858827
bravos,2026-03,gold_silver,2,0,3393,2,0.5894488653109342
bravos,2026-03,housing,4,1,3393,2,1.1788977306218684
bravos,2026-03,inflation,36,2,3393,2,10.610079575596817
bravos,2026-03,liquidity_rates,1,0,3393,2,0.2947244326554671
bravos,2026-03,oil_energy,45,2,3393,2,13.262599469496022
bravos,2026-03,recession_labor,2,0,3393,2,0.5894488653109342
bravos,2026-03,rotation_manufacturing,14,1,3393,2,4.12614205717654
bravos,2026-03,valuation_bubble,9,1,3393,2,2.6525198938992043
bravos,2026-04,ai_tech,2,0,10604,5,0.18860807242549982
bravos,2026-04,china_deglobalization,0,0,10604,5,0.0
bravos,2026-04,crypto,0,0,10604,5,0.0
bravos,2026-04,debt_credit,4,1,10604,5,0.37721614485099964
bravos,2026-04,digital_control,0,0,10604,5,0.0
bravos,2026-04,dollar_fx,24,2,10604,5,2.263296869105998
bravos,2026-04,gold_silver,15,1,10604,5,1.4145605431912485
bravos,2026-04,housing,2,0,10604,5,0.18860807242549982
bravos,2026-04,inflation,61,5,10604,5,5.752546208977744
bravos,2026-04,liquidity_rates,42,3,10604,5,3.9607695209354965
bravos,2026-04,oil_energy,62,5,10604,5,5.8468502451904945
bravos,2026-04,recession_labor,45,3,10604,5,4.243681629573746
bravos,2026-04,rotation_manufacturing,23,3,10604,5,2.1689928328932475
bravos,2026-04,valuation_bubble,4,0,10604,5,0.37721614485099964
bravos,2026-05,ai_tech,34,4,10431,6,3.2595149074872976
bravos,2026-05,china_deglobalization,0,0,10431,6,0.0
bravos,2026-05,crypto,1,0,10431,6,0.09586808551433228
bravos,2026-05,debt_credit,7,1,10431,6,0.671076598600326
bravos,2026-05,digital_control,0,0,10431,6,0.0
bravos,2026-05,dollar_fx,4,1,10431,6,0.3834723420573291
bravos,2026-05,gold_silver,1,0,10431,6,0.09586808551433228
bravos,2026-05,housing,3,0,10431,6,0.2876042565429968
bravos,2026-05,inflation,39,4,10431,6,3.738855335058959
bravos,2026-05,liquidity_rates,85,3,10431,6,8.148787268718243
bravos,2026-05,oil_energy,9,1,10431,6,0.8628127696289906
bravos,2026-05,recession_labor,25,2,10431,6,2.396702137858307
bravos,2026-05,rotation_manufacturing,15,2,10431,6,1.4380212827149843
