file,channel,date,source,mentions,first_timestamp
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,Fed,11,2:17
bravos_2026-04-08_Nyb4yfSUlT4.txt,bravos,2026-04-08,NBER,2,1:28
bravos_2026-04-08_Nyb4yfSUlT4.txt,bravos,2026-04-08,Fed,1,3:28
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,Fed,3,0:37
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,NBER,1,1:54
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,Fed,9,3:31
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,Fed,11,5:02
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,Buffett_Berkshire,2,2:58
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,Moody_Zandi,1,0:42
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,Fed,26,0:07
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,Bravos,1,8:10
bravos_2026-05-13_HUSPFNHI6PY.txt,bravos,2026-05-13,Buffett_Berkshire,1,1:22
bravos_2026-05-13_HUSPFNHI6PY.txt,bravos,2026-05-13,Bravos,1,7:28
bravos_2026-05-15_7830S4NkFe8.txt,bravos,2026-05-15,NBER,2,1:27
bravos_2026-05-15_7830S4NkFe8.txt,bravos,2026-05-15,Bravos,1,8:47
bravos_2026-05-29_eKomHGJgJEU.txt,bravos,2026-05-29,NBER,1,3:48
bravos_2026-05-29_eKomHGJgJEU.txt,bravos,2026-05-29,Fed,18,1:21
bravos_2026-06-02_bgAmexfyVOI.txt,bravos,2026-06-02,NBER,1,0:46
bravos_2026-06-02_bgAmexfyVOI.txt,bravos,2026-06-02,Fed,9,5:13
bravos_2026-06-11_zmIhCFYlBP0.txt,bravos,2026-06-11,Fed,5,6:49
bravos_2026-06-11_zmIhCFYlBP0.txt,bravos,2026-06-11,Goldman_Sachs,1,0:00
bravos_2026-06-11_zmIhCFYlBP0.txt,bravos,2026-06-11,JP_Morgan,1,5:54
bravos_2026-06-15_Ev6e1dJCelc.txt,bravos,2026-06-15,Fed,4,1:38
bravos_2026-07-07_J0qxWVhXd4o.txt,bravos,2026-07-07,Fed,16,4:47
bravos_2026-08-04_VygtuX3arJA.txt,bravos,2026-08-04,Buffett_Berkshire,1,4:04
bravos_2026-08-09_rv4PIOsQq_g.txt,bravos,2026-08-09,Fed,2,3:47
bravos_2026-08-11_ZZ7HyZu8FbE.txt,bravos,2026-08-11,ECB,1,1:32
bravos_2026-08-21_Jw8ykhoOVBQ.txt,bravos,2026-08-21,Gartner,4,3:53
bravos_2026-08-21_Jw8ykhoOVBQ.txt,bravos,2026-08-21,Fed,5,10:10
bravos_2026-08-25_PWMhM2_dj3s.txt,bravos,2026-08-25,ECB,2,4:06
bravos_2026-08-25_PWMhM2_dj3s.txt,bravos,2026-08-25,Fed,1,14:05
bravos_2026-08-25_PWMhM2_dj3s.txt,bravos,2026-08-25,IMF,4,4:12
bravos_2026-08-27_cbknsJEshD8.txt,bravos,2026-08-27,World_Gold_Council,1,9:42
bravos_2026-09-05__rwFYNlKtEc.txt,bravos,2026-09-05,Fed,29,5:01
bravos_2026-09-05__rwFYNlKtEc.txt,bravos,2026-09-05,CBO,1,16:55
bravos_2026-09-05__rwFYNlKtEc.txt,bravos,2026-09-05,IMF,2,16:20
bravos_2026-09-09_1ZS5_txbOsc.txt,bravos,2026-09-09,ECB,1,0:10
bravos_2026-09-09_1ZS5_txbOsc.txt,bravos,2026-09-09,IMF,1,1:10
bravos_2026-09-09_1ZS5_txbOsc.txt,bravos,2026-09-09,Goldman_Sachs,1,0:10
bravos_2026-09-12_RUH3BPQ5fTo.txt,bravos,2026-09-12,Fed,7,6:04
bravos_2026-09-16_jx3Ll-GJtMY.txt,bravos,2026-09-16,Fed,6,6:31
bravos_2026-09-16_jx3Ll-GJtMY.txt,bravos,2026-09-16,ISM,1,12:19
jikh_2026-03-16_jQUUAEemvSE.txt,jikh,2026-03-16,Luke_Gromen,1,6:40
jikh_2026-03-16_jQUUAEemvSE.txt,jikh,2026-03-16,Benjamin_Cowen,1,13:19
jikh_2026-03-16_jQUUAEemvSE.txt,jikh,2026-03-16,Fed,14,12:21
jikh_2026-03-16_jQUUAEemvSE.txt,jikh,2026-03-16,CBO,1,16:46
jikh_2026-03-16_jQUUAEemvSE.txt,jikh,2026-03-16,JP_Morgan,1,1:40
jikh_2026-03-31_Dt45p4wuNow.txt,jikh,2026-03-31,Fed,8,1:48
jikh_2026-03-31_Dt45p4wuNow.txt,jikh,2026-03-31,Goldman_Sachs,1,12:42
jikh_2026-03-31_Dt45p4wuNow.txt,jikh,2026-03-31,JP_Morgan,1,12:42
jikh_2026-03-31_Dt45p4wuNow.txt,jikh,2026-03-31,Wall_Street_Journal,1,11:07
