pair_id,channel,family,a_predicate,a_date,b_predicate,b_date,days_between,both_future_modal,status
C000001,bravos,dollar_direction,P00003,2026-03-20,P00081,2026-04-20,31,False,UNADJUDICATED_CANDIDATE
C000002,bravos,dollar_direction,P00003,2026-03-20,P00084,2026-04-20,31,False,UNADJUDICATED_CANDIDATE
C000003,bravos,dollar_direction,P00003,2026-03-20,P00094,2026-04-23,34,False,UNADJUDICATED_CANDIDATE
C000004,bravos,dollar_direction,P00003,2026-03-20,P00095,2026-04-23,34,False,UNADJUDICATED_CANDIDATE
C000005,bravos,dollar_direction,P00003,2026-03-20,P00102,2026-04-23,34,False,UNADJUDICATED_CANDIDATE
C000006,bravos,dollar_direction,P00003,2026-03-20,P00153,2026-05-01,42,False,UNADJUDICATED_CANDIDATE
C000007,bravos,dollar_direction,P00003,2026-03-20,P00215,2026-06-11,83,False,UNADJUDICATED_CANDIDATE
C000008,bravos,dollar_direction,P00003,2026-03-20,P00230,2026-06-18,90,False,UNADJUDICATED_CANDIDATE
C000009,bravos,dollar_direction,P00003,2026-03-20,P00234,2026-06-18,90,False,UNADJUDICATED_CANDIDATE
C000010,bravos,dollar_direction,P00003,2026-03-20,P00236,2026-06-18,90,False,UNADJUDICATED_CANDIDATE
C000011,bravos,dollar_direction,P00003,2026-03-20,P00243,2026-06-18,90,False,UNADJUDICATED_CANDIDATE
C000012,bravos,dollar_direction,P00003,2026-03-20,P00273,2026-07-07,109,False,UNADJUDICATED_CANDIDATE
C000013,bravos,dollar_direction,P00003,2026-03-20,P00277,2026-07-07,109,False,UNADJUDICATED_CANDIDATE
C000014,bravos,dollar_direction,P00003,2026-03-20,P00284,2026-07-07,109,False,UNADJUDICATED_CANDIDATE
C000015,bravos,dollar_direction,P00003,2026-03-20,P00291,2026-07-07,109,False,UNADJUDICATED_CANDIDATE
C000016,bravos,dollar_direction,P00003,2026-03-20,P00294,2026-07-07,109,False,UNADJUDICATED_CANDIDATE
C000017,bravos,dollar_direction,P00003,2026-03-20,P00312,2026-08-11,144,False,UNADJUDICATED_CANDIDATE
C000018,bravos,dollar_direction,P00003,2026-03-20,P00329,2026-08-18,151,False,UNADJUDICATED_CANDIDATE
C000019,bravos,dollar_direction,P00003,2026-03-20,P00376,2026-08-27,160,False,UNADJUDICATED_CANDIDATE
C000020,bravos,dollar_direction,P00003,2026-03-20,P00381,2026-08-27,160,False,UNADJUDICATED_CANDIDATE
C000021,bravos,dollar_direction,P00005,2026-03-20,P00081,2026-04-20,31,False,UNADJUDICATED_CANDIDATE
C000022,bravos,dollar_direction,P00005,2026-03-20,P00084,2026-04-20,31,False,UNADJUDICATED_CANDIDATE
C000023,bravos,dollar_direction,P00005,2026-03-20,P00094,2026-04-23,34,False,UNADJUDICATED_CANDIDATE
C000024,bravos,dollar_direction,P00005,2026-03-20,P00095,2026-04-23,34,False,UNADJUDICATED_CANDIDATE
C000025,bravos,dollar_direction,P00005,2026-03-20,P00102,2026-04-23,34,False,UNADJUDICATED_CANDIDATE
C000026,bravos,dollar_direction,P00005,2026-03-20,P00153,2026-05-01,42,False,UNADJUDICATED_CANDIDATE
C000027,bravos,dollar_direction,P00005,2026-03-20,P00215,2026-06-11,83,False,UNADJUDICATED_CANDIDATE
C000028,bravos,dollar_direction,P00005,2026-03-20,P00230,2026-06-18,90,False,UNADJUDICATED_CANDIDATE
C000029,bravos,dollar_direction,P00005,2026-03-20,P00234,2026-06-18,90,False,UNADJUDICATED_CANDIDATE
C000030,bravos,dollar_direction,P00005,2026-03-20,P00236,2026-06-18,90,False,UNADJUDICATED_CANDIDATE
C000031,bravos,dollar_direction,P00005,2026-03-20,P00243,2026-06-18,90,True,UNADJUDICATED_CANDIDATE
C000032,bravos,dollar_direction,P00005,2026-03-20,P00273,2026-07-07,109,False,UNADJUDICATED_CANDIDATE
C000033,bravos,dollar_direction,P00005,2026-03-20,P00277,2026-07-07,109,True,UNADJUDICATED_CANDIDATE
C000034,bravos,dollar_direction,P00005,2026-03-20,P00284,2026-07-07,109,False,UNADJUDICATED_CANDIDATE
C000035,bravos,dollar_direction,P00005,2026-03-20,P00291,2026-07-07,109,True,UNADJUDICATED_CANDIDATE
C000036,bravos,dollar_direction,P00005,2026-03-20,P00294,2026-07-07,109,False,UNADJUDICATED_CANDIDATE
C000037,bravos,dollar_direction,P00005,2026-03-20,P00312,2026-08-11,144,False,UNADJUDICATED_CANDIDATE
C000038,bravos,dollar_direction,P00005,2026-03-20,P00329,2026-08-18,151,False,UNADJUDICATED_CANDIDATE
C000039,bravos,dollar_direction,P00005,2026-03-20,P00376,2026-08-27,160,True,UNADJUDICATED_CANDIDATE
C000040,bravos,dollar_direction,P00005,2026-03-20,P00381,2026-08-27,160,False,UNADJUDICATED_CANDIDATE
C000041,bravos,dollar_direction,P00074,2026-04-20,P00094,2026-04-23,3,False,UNADJUDICATED_CANDIDATE
C000042,bravos,dollar_direction,P00074,2026-04-20,P00095,2026-04-23,3,False,UNADJUDICATED_CANDIDATE
C000043,bravos,dollar_direction,P00074,2026-04-20,P00102,2026-04-23,3,False,UNADJUDICATED_CANDIDATE
C000044,bravos,dollar_direction,P00074,2026-04-20,P00153,2026-05-01,11,False,UNADJUDICATED_CANDIDATE
C000045,bravos,dollar_direction,P00074,2026-04-20,P00215,2026-06-11,52,False,UNADJUDICATED_CANDIDATE
C000046,bravos,dollar_direction,P00074,2026-04-20,P00230,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000047,bravos,dollar_direction,P00074,2026-04-20,P00234,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000048,bravos,dollar_direction,P00074,2026-04-20,P00236,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000049,bravos,dollar_direction,P00074,2026-04-20,P00243,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000050,bravos,dollar_direction,P00074,2026-04-20,P00273,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000051,bravos,dollar_direction,P00074,2026-04-20,P00277,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000052,bravos,dollar_direction,P00074,2026-04-20,P00284,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000053,bravos,dollar_direction,P00074,2026-04-20,P00291,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000054,bravos,dollar_direction,P00074,2026-04-20,P00294,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000055,bravos,dollar_direction,P00074,2026-04-20,P00312,2026-08-11,113,False,UNADJUDICATED_CANDIDATE
C000056,bravos,dollar_direction,P00074,2026-04-20,P00329,2026-08-18,120,False,UNADJUDICATED_CANDIDATE
C000057,bravos,dollar_direction,P00074,2026-04-20,P00376,2026-08-27,129,False,UNADJUDICATED_CANDIDATE
C000058,bravos,dollar_direction,P00074,2026-04-20,P00381,2026-08-27,129,False,UNADJUDICATED_CANDIDATE
C000059,bravos,dollar_direction,P00079,2026-04-20,P00094,2026-04-23,3,False,UNADJUDICATED_CANDIDATE
C000060,bravos,dollar_direction,P00079,2026-04-20,P00095,2026-04-23,3,False,UNADJUDICATED_CANDIDATE
C000061,bravos,dollar_direction,P00079,2026-04-20,P00102,2026-04-23,3,False,UNADJUDICATED_CANDIDATE
C000062,bravos,dollar_direction,P00079,2026-04-20,P00153,2026-05-01,11,False,UNADJUDICATED_CANDIDATE
C000063,bravos,dollar_direction,P00079,2026-04-20,P00215,2026-06-11,52,False,UNADJUDICATED_CANDIDATE
C000064,bravos,dollar_direction,P00079,2026-04-20,P00230,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000065,bravos,dollar_direction,P00079,2026-04-20,P00234,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000066,bravos,dollar_direction,P00079,2026-04-20,P00236,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000067,bravos,dollar_direction,P00079,2026-04-20,P00243,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000068,bravos,dollar_direction,P00079,2026-04-20,P00273,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000069,bravos,dollar_direction,P00079,2026-04-20,P00277,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000070,bravos,dollar_direction,P00079,2026-04-20,P00284,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000071,bravos,dollar_direction,P00079,2026-04-20,P00291,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000072,bravos,dollar_direction,P00079,2026-04-20,P00294,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000073,bravos,dollar_direction,P00079,2026-04-20,P00312,2026-08-11,113,False,UNADJUDICATED_CANDIDATE
C000074,bravos,dollar_direction,P00079,2026-04-20,P00329,2026-08-18,120,False,UNADJUDICATED_CANDIDATE
C000075,bravos,dollar_direction,P00079,2026-04-20,P00376,2026-08-27,129,False,UNADJUDICATED_CANDIDATE
C000076,bravos,dollar_direction,P00079,2026-04-20,P00381,2026-08-27,129,False,UNADJUDICATED_CANDIDATE
C000077,bravos,dollar_direction,P00081,2026-04-20,P00113,2026-04-23,3,False,UNADJUDICATED_CANDIDATE
C000078,bravos,dollar_direction,P00081,2026-04-20,P00175,2026-05-15,25,False,UNADJUDICATED_CANDIDATE
C000079,bravos,dollar_direction,P00081,2026-04-20,P00217,2026-06-11,52,False,UNADJUDICATED_CANDIDATE
C000080,bravos,dollar_direction,P00081,2026-04-20,P00235,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000081,bravos,dollar_direction,P00081,2026-04-20,P00247,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000082,bravos,dollar_direction,P00081,2026-04-20,P00274,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000083,bravos,dollar_direction,P00081,2026-04-20,P00280,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000084,bravos,dollar_direction,P00081,2026-04-20,P00281,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000085,bravos,dollar_direction,P00081,2026-04-20,P00292,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000086,bravos,dollar_direction,P00081,2026-04-20,P00310,2026-08-11,113,False,UNADJUDICATED_CANDIDATE
C000087,bravos,dollar_direction,P00081,2026-04-20,P00314,2026-08-11,113,False,UNADJUDICATED_CANDIDATE
C000088,bravos,dollar_direction,P00081,2026-04-20,P00332,2026-08-18,120,False,UNADJUDICATED_CANDIDATE
C000089,bravos,dollar_direction,P00081,2026-04-20,P00366,2026-08-27,129,False,UNADJUDICATED_CANDIDATE
C000090,bravos,dollar_direction,P00081,2026-04-20,P00380,2026-08-27,129,False,UNADJUDICATED_CANDIDATE
C000091,bravos,dollar_direction,P00081,2026-04-20,P00393,2026-09-05,138,False,UNADJUDICATED_CANDIDATE
C000092,bravos,dollar_direction,P00084,2026-04-20,P00113,2026-04-23,3,False,UNADJUDICATED_CANDIDATE
C000093,bravos,dollar_direction,P00084,2026-04-20,P00175,2026-05-15,25,False,UNADJUDICATED_CANDIDATE
C000094,bravos,dollar_direction,P00084,2026-04-20,P00217,2026-06-11,52,False,UNADJUDICATED_CANDIDATE
C000095,bravos,dollar_direction,P00084,2026-04-20,P00235,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000096,bravos,dollar_direction,P00084,2026-04-20,P00247,2026-06-18,59,False,UNADJUDICATED_CANDIDATE
C000097,bravos,dollar_direction,P00084,2026-04-20,P00274,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000098,bravos,dollar_direction,P00084,2026-04-20,P00280,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000099,bravos,dollar_direction,P00084,2026-04-20,P00281,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000100,bravos,dollar_direction,P00084,2026-04-20,P00292,2026-07-07,78,False,UNADJUDICATED_CANDIDATE
C000101,bravos,dollar_direction,P00084,2026-04-20,P00310,2026-08-11,113,False,UNADJUDICATED_CANDIDATE
C000102,bravos,dollar_direction,P00084,2026-04-20,P00314,2026-08-11,113,False,UNADJUDICATED_CANDIDATE
C000103,bravos,dollar_direction,P00084,2026-04-20,P00332,2026-08-18,120,False,UNADJUDICATED_CANDIDATE
C000104,bravos,dollar_direction,P00084,2026-04-20,P00366,2026-08-27,129,False,UNADJUDICATED_CANDIDATE
C000105,bravos,dollar_direction,P00084,2026-04-20,P00380,2026-08-27,129,False,UNADJUDICATED_CANDIDATE
C000106,bravos,dollar_direction,P00084,2026-04-20,P00393,2026-09-05,138,False,UNADJUDICATED_CANDIDATE
C000107,bravos,dollar_direction,P00094,2026-04-23,P00175,2026-05-15,22,False,UNADJUDICATED_CANDIDATE
C000108,bravos,dollar_direction,P00094,2026-04-23,P00217,2026-06-11,49,False,UNADJUDICATED_CANDIDATE
C000109,bravos,dollar_direction,P00094,2026-04-23,P00235,2026-06-18,56,False,UNADJUDICATED_CANDIDATE
C000110,bravos,dollar_direction,P00094,2026-04-23,P00247,2026-06-18,56,False,UNADJUDICATED_CANDIDATE
C000111,bravos,dollar_direction,P00094,2026-04-23,P00274,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000112,bravos,dollar_direction,P00094,2026-04-23,P00280,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000113,bravos,dollar_direction,P00094,2026-04-23,P00281,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
