channel,n,rhetoric,market_variable,pearson_r,spearman_rho
bravos,33,urgency_per_1k,sp500_30d_pct,0.13922083949996006,0.05791772426324366
bravos,33,urgency_per_1k,brent_30d_pct,0.035115455303580165,0.08202221066181907
bravos,33,urgency_per_1k,vix_asof,-0.12225907270774199,-0.03649456360380397
bravos,33,certainty_per_1k,sp500_30d_pct,-0.05017353467812705,0.07954545454545456
bravos,33,certainty_per_1k,brent_30d_pct,0.07186514674138372,-0.057152406417112306
bravos,33,certainty_per_1k,vix_asof,0.5281915505780768,0.43168714114118534
bravos,33,hedge_per_1k,sp500_30d_pct,-0.054865194494785205,-0.19585561497326204
bravos,33,hedge_per_1k,brent_30d_pct,0.2770781972184456,0.36798128342245995
bravos,33,hedge_per_1k,vix_asof,0.1864387702613494,0.1698002847074891
jikh,25,urgency_per_1k,sp500_30d_pct,0.08025416599183438,0.08692307692307692
jikh,25,urgency_per_1k,brent_30d_pct,0.2243330996746802,0.27076923076923076
jikh,25,urgency_per_1k,vix_asof,0.2717573187765953,0.32076923076923075
jikh,25,certainty_per_1k,sp500_30d_pct,-0.13784921529575297,-0.15000000000000002
jikh,25,certainty_per_1k,brent_30d_pct,-0.11588428545679243,-0.24923076923076923
jikh,25,certainty_per_1k,vix_asof,0.26328754019635364,0.16615384615384618
jikh,25,hedge_per_1k,sp500_30d_pct,-0.3516837524371239,-0.3646153846153847
jikh,25,hedge_per_1k,brent_30d_pct,0.4971969112721657,0.5961538461538461
jikh,25,hedge_per_1k,vix_asof,0.36560535140347283,0.3553846153846154
