bravos_file,jikh_file,phrase
bravos_2026-08-18_nB1eXWQlW58.txt,jikh_2026-08-05_dlaVKt9-Tfg.txt,goes down it takes the us bond market with it
bravos_2026-08-18_nB1eXWQlW58.txt,jikh_2026-08-05_dlaVKt9-Tfg.txt,if japan goes down it takes the us bond market
bravos_2026-08-18_nB1eXWQlW58.txt,jikh_2026-08-05_dlaVKt9-Tfg.txt,japan goes down it takes the us bond market with
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,again in the money today should we be nervous or
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,and center we re seeing yields at the highest levels
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,at the highest levels in decades yet we see the
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,bond market is front and center we re seeing yields
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,bond market is the basis it s the backbone of
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,bond market the bond market is the basis it s
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,center we re seeing yields at the highest levels in
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,decades yet we see the stock market keeps rallying in
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,fact is again in the money today should we be
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,front and center we re seeing yields at the highest
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,highest levels in decades yet we see the stock market
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,in decades yet we see the stock market keeps rallying
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,in fact is again in the money today should we
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,in the money today should we be nervous or not
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,is again in the money today should we be nervous
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,is front and center we re seeing yields at the
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,is the basis it s the backbone of all markets
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,keeps rallying in fact is again in the money today
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,levels in decades yet we see the stock market keeps
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,market is front and center we re seeing yields at
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,market is the basis it s the backbone of all
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,market keeps rallying in fact is again in the money
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,market the bond market is the basis it s the
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,rallying in fact is again in the money today should
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,re seeing yields at the highest levels in decades yet
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,see the stock market keeps rallying in fact is again
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,seeing yields at the highest levels in decades yet we
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,stock market keeps rallying in fact is again in the
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,the bond market is front and center we re seeing
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,the bond market is the basis it s the backbone
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,the bond market the bond market is the basis it
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,the highest levels in decades yet we see the stock
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,the stock market keeps rallying in fact is again in
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,watch the bond market the bond market is the basis
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,we re seeing yields at the highest levels in decades
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,we see the stock market keeps rallying in fact is
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,yet we see the stock market keeps rallying in fact
bravos_2026-08-25_PWMhM2_dj3s.txt,jikh_2026-05-26_w8yTmTdF1Kw.txt,yields at the highest levels in decades yet we see
bravos_2026-08-27_cbknsJEshD8.txt,jikh_2026-06-30_Z_xvkbGWauU.txt,china has the right to speak in the international gold
