series,date,calendar_yoy,dashboard_yoy,difference_pp,row_lag_base_date,correct_base_month
CPIAUCSL,2025-09-01,3.0225715847133294,3.0225715847133294,0.0,2024-09-01,2024-09
CPIAUCSL,2025-11-01,2.6964439164939513,2.988299628363511,0.2918557118695597,2024-10-01,2024-11
CPIAUCSL,2025-12-01,2.653304114557753,3.00226204316838,0.348957928610627,2024-11-01,2024-12
CPIAUCSL,2026-01-01,2.391201432150014,2.8286797395498997,0.4374783073998856,2024-12-01,2025-01
CPIAUCSL,2026-02-01,2.4340041103732224,2.6645890876940914,0.23058497732086902,2025-01-01,2025-02
CPIAUCSL,2026-03-01,3.2859577528651984,3.3202055812236786,0.03424782835848017,2025-02-01,2025-03
CPIAUCSL,2026-04-01,3.7792458367415627,3.9470269087042764,0.16778107196271375,2025-03-01,2025-04
CPIAUCSL,2026-05-01,4.166614684049641,4.270032656680245,0.10341797263060393,2025-04-01,2025-05
CPIAUCSL,2026-06-01,3.463530729385411,3.7265298484186804,0.2629991190332692,2025-05-01,2025-06
CPIAUCSL,2026-07-01,3.303856050706311,3.5397514271936714,0.2358953764873606,2025-06-01,2025-07
CPIAUCSL,2026-08-01,3.353016322755642,3.7129581058388483,0.35994178308320635,2025-07-01,2025-08
CPILFESL,2025-09-01,3.0199668258857892,3.0199668258857892,0.0,2024-09-01,2024-09
CPILFESL,2025-11-01,2.5990448060944082,2.8943434111105226,0.2952986050161144,2024-10-01,2024-11
CPILFESL,2025-12-01,2.6464847073089937,2.837998245815232,0.1915135385062383,2024-11-01,2024-12
CPILFESL,2026-01-01,2.512028782828879,2.9493378374616075,0.4373090546327285,2024-12-01,2025-01
CPILFESL,2026-02-01,2.4724624767640258,2.7335062438778035,0.26104376711377775,2025-01-01,2025-02
CPILFESL,2026-03-01,2.602167705486824,2.6730984898529986,0.0709307843661744,2025-02-01,2025-03
CPILFESL,2026-04-01,2.7433094309685213,2.9884245755166017,0.24511514454808037,2025-03-01,2025-04
CPILFESL,2026-05-01,2.8229420636110225,2.9571135826898187,0.1341715190787962,2025-04-01,2025-05
CPILFESL,2026-06-01,2.5657850563697515,2.80581107579545,0.24002601942569868,2025-05-01,2025-06
CPILFESL,2026-07-01,2.4665177892309265,2.786747157096725,0.3202293678657986,2025-06-01,2025-07
CPILFESL,2026-08-01,2.4461631786472537,2.7634613395318253,0.3172981608845715,2025-07-01,2025-08
