decision_date,equity_gdp_pct,cpi_yoy_pct,ip_yoy_pct,baa_aaa_pp,curve_10y_3m_pp,real_bill_expost_pct
1954-07-31,,,,,,
1954-08-31,,,,,,
1954-09-30,,,,,,
1954-10-31,,,,,,
1954-11-30,,,,,,
1954-12-31,,,,,,
1955-01-31,,,,,,
1955-02-28,,,,,,
1955-03-31,,,,,,
1955-04-30,,,,,,
1955-05-31,,,,,,
1955-06-30,,,,,,
1955-07-31,,,,,,
1955-08-31,,,,,,
1955-09-30,,,,,,
1955-10-31,,,,,,
1955-11-30,,,,,,
1955-12-31,,,,,,
1956-01-31,,,,,,
1956-02-29,,,,,,
1956-03-31,,,,,,
1956-04-30,,,,,,
1956-05-31,,,,,,
1956-06-30,,,,,,
1956-07-31,,,,,,
1956-08-31,,,,,,
1956-09-30,,,,,,
1956-10-31,,,,,,
1956-11-30,,,,,,
1956-12-31,,,,,,
1957-01-31,,,,,,
1957-02-28,,,,,,
1957-03-31,,,,,,
1957-04-30,,,,,,
1957-05-31,,,,,,
1957-06-30,,,,,,
1957-07-31,,,,,,
1957-08-31,,,,,,
1957-09-30,,,,,,
1957-10-31,,,,,,
1957-11-30,,,,,,
1957-12-31,,,,,,
1958-01-31,,,,,,
1958-02-28,,,,,,
1958-03-31,,,,,,
1958-04-30,,,,,,
1958-05-31,,,,,,
1958-06-30,,,,,,
1958-07-31,,,,,,
1958-08-31,,,,,,
1958-09-30,,,,,,
1958-10-31,,,,,,
1958-11-30,,,,,,
1958-12-31,,,,,,
1959-01-31,,,,,,
1959-02-28,,,,,,
1959-03-31,,,,,,
1959-04-30,,,,,,
1959-05-31,,,,,,
1959-06-30,,,,,,
1959-07-31,,,,,,
1959-08-31,,,,,,
1959-09-30,,,,,,
1959-10-31,,,,,,
1959-11-30,,,,,,
1959-12-31,,,,,,
1960-01-31,,,,,,
1960-02-29,,,,,,
1960-03-31,,,,,,
1960-04-30,,,,,,
1960-05-31,,,,,,
1960-06-30,,,,,,
1960-07-31,,,,,,
1960-08-31,,,,,,
1960-09-30,,,,,,
1960-10-31,,,,,,
1960-11-30,,,,,,
1960-12-31,,,,,,
1961-01-31,,,,,,
1961-02-28,,,,,,
1961-03-31,,,,,,
1961-04-30,,,,,,
1961-05-31,,,,,,
1961-06-30,,,,,,
1961-07-31,,,,,,
1961-08-31,,,,,,
1961-09-30,,,,,,
1961-10-31,,,,,,
1961-11-30,,,,,,
1961-12-31,,,,,,
1962-01-31,,,,,,
1962-02-28,,,,,,
1962-03-31,,,,,,
1962-04-30,,,,,,
1962-05-31,,,,,,
1962-06-30,,,,,,
1962-07-31,,,,,,
1962-08-31,,,,,,
1962-09-30,,,,,,
1962-10-31,,,,,,
1962-11-30,,,,,,
1962-12-31,,,,,,
1963-01-31,,,,,,
1963-02-28,,,,,,
1963-03-31,,,,,,
1963-04-30,,,,,,
1963-05-31,,,,,,
1963-06-30,,,,,,
1963-07-31,,,,,,
1963-08-31,,,,,,
1963-09-30,,,,,,
1963-10-31,,,,,,
1963-11-30,,,,,,
1963-12-31,,,,,,
1964-01-31,,,,,,
1964-02-29,,,,,,
1964-03-31,,,,,,
1964-04-30,,,,,,
1964-05-31,,,,,,
1964-06-30,,,,,,
1964-07-31,84.16666666666667,47.5,56.666666666666664,0.0,30.833333333333336,85.0
1964-08-31,83.47107438016529,35.53719008264463,70.24793388429752,0.0,34.710743801652896,90.08264462809917
1964-09-30,95.08196721311475,32.78688524590164,73.77049180327869,0.0,31.147540983606557,93.44262295081968
1964-10-31,94.3089430894309,39.83739837398374,65.85365853658537,0.0,28.455284552845526,87.8048780487805
1964-11-30,93.54838709677419,41.12903225806452,49.193548387096776,0.0,22.58064516129032,87.90322580645162
1964-12-31,100.0,58.4,72.0,0.0,16.0,84.8
1965-01-31,99.20634920634922,40.476190476190474,78.57142857142857,0.0,3.1746031746031744,96.03174603174604
1965-02-28,98.4251968503937,35.43307086614173,80.31496062992126,0.7874015748031495,7.086614173228346,96.06299212598425
1965-03-31,100.0,40.625,79.6875,0.78125,2.34375,96.09375
1965-04-30,99.2248062015504,40.310077519379846,82.94573643410853,0.0,2.3255813953488373,96.12403100775194
1965-05-31,98.46153846153847,59.23076923076923,80.0,1.5384615384615385,2.307692307692308,91.53846153846153
1965-06-30,97.70992366412213,72.51908396946564,80.1526717557252,0.7633587786259541,4.580152671755725,82.44274809160305
1965-07-31,96.96969696969697,79.54545454545455,81.81818181818183,5.303030303030303,12.121212121212121,62.878787878787875
1965-08-31,96.2406015037594,75.93984962406014,82.70676691729322,6.7669172932330826,7.518796992481203,71.42857142857143
1965-09-30,75.3731343283582,70.8955223880597,81.34328358208955,5.223880597014925,12.686567164179104,79.8507462686567
1965-10-31,74.81481481481481,74.81481481481481,80.0,7.4074074074074066,8.148148148148149,77.77777777777779
