indicator,horizon_months,event,signal_month,split,signal_value,alarm,outcome,first_event_month,lead_months
claims_rise_20pct,12,recession_onset,1969-12,training_pre2000,22.76536312849162,1,1,1970-01,1.0
claims_rise_20pct,12,recession_onset,1977-02,training_pre2000,29.899135446685875,1,0,,
claims_rise_20pct,12,recession_onset,1979-04,training_pre2000,30.352941176470583,1,1,1980-02,10.0
claims_rise_20pct,12,recession_onset,1984-10,training_pre2000,23.58142962417096,1,0,,
claims_rise_20pct,12,recession_onset,1989-10,training_pre2000,26.56794425087108,1,1,1990-08,10.0
claims_rise_20pct,12,recession_onset,2000-11,holdout_2000plus,25.53990610328638,1,1,2001-04,5.0
claims_rise_20pct,12,recession_onset,2005-09,holdout_2000plus,22.774659182036892,1,0,,
claims_rise_20pct,12,recession_onset,2023-06,holdout_2000plus,26.96202531645571,1,0,,
claims_rise_20pct,12,recession_present_or_onset,1969-12,training_pre2000,22.76536312849162,1,1,1970-01,1.0
claims_rise_20pct,12,recession_present_or_onset,1973-12,training_pre2000,31.674208144796378,1,1,1973-12,0.0
claims_rise_20pct,12,recession_present_or_onset,1977-02,training_pre2000,29.899135446685875,1,0,,
claims_rise_20pct,12,recession_present_or_onset,1979-04,training_pre2000,30.352941176470583,1,1,1980-02,10.0
claims_rise_20pct,12,recession_present_or_onset,1981-10,training_pre2000,22.139764996907864,1,1,1981-10,0.0
claims_rise_20pct,12,recession_present_or_onset,1984-10,training_pre2000,23.58142962417096,1,0,,
claims_rise_20pct,12,recession_present_or_onset,1989-10,training_pre2000,26.56794425087108,1,1,1990-08,10.0
claims_rise_20pct,12,recession_present_or_onset,1990-10,training_pre2000,26.280623608017816,1,1,1990-10,0.0
claims_rise_20pct,12,recession_present_or_onset,2000-11,holdout_2000plus,25.53990610328638,1,1,2001-04,5.0
claims_rise_20pct,12,recession_present_or_onset,2005-09,holdout_2000plus,22.774659182036892,1,0,,
claims_rise_20pct,12,recession_present_or_onset,2008-03,holdout_2000plus,21.85430463576159,1,1,2008-03,0.0
claims_rise_20pct,12,recession_present_or_onset,2020-03,holdout_2000plus,1058.9330024813896,1,1,2020-03,0.0
claims_rise_20pct,12,recession_present_or_onset,2023-06,holdout_2000plus,26.96202531645571,1,0,,
claims_rise_20pct,12,equity_entry_loss_20,1969-12,training_pre2000,22.76536312849162,1,0,,
claims_rise_20pct,12,equity_entry_loss_20,1973-12,training_pre2000,31.674208144796378,1,1,1974-09,9.0
claims_rise_20pct,12,equity_entry_loss_20,1977-02,training_pre2000,29.899135446685875,1,0,,
claims_rise_20pct,12,equity_entry_loss_20,1979-04,training_pre2000,30.352941176470583,1,0,,
