event,date,value
recession_onset,1957-09,1.0
recession_onset,1960-05,1.0
recession_onset,1970-01,1.0
recession_onset,1973-12,1.0
recession_onset,1980-02,1.0
recession_onset,1981-08,1.0
recession_onset,1990-08,1.0
recession_onset,2001-04,1.0
recession_onset,2008-01,1.0
recession_onset,2020-03,1.0
inflation_onset,1968-05,4.229607250755274
inflation_onset,1973-03,4.8309178743961345
inflation_onset,1983-04,4.0000000000000036
inflation_onset,1984-01,4.290091930541351
inflation_onset,1987-08,4.2883211678832245
inflation_onset,1988-07,4.130052724077338
inflation_onset,2005-09,4.741833508956805
inflation_onset,2006-01,4.018789144050117
inflation_onset,2006-06,4.1817243159525175
inflation_onset,2007-11,4.373267326732666
inflation_onset,2008-05,4.088413823123993
inflation_onset,2021-04,4.133077115360573
inflation_onset,2026-05,4.166614684049641
credit_onset,1986-08,3.07
credit_onset,2001-03,3.04
credit_onset,2001-09,3.42
credit_onset,2002-06,3.13
credit_onset,2008-02,3.22
credit_onset,2010-06,3.08
credit_onset,2010-08,3.01
credit_onset,2011-08,3.25
credit_onset,2015-08,3.15
credit_onset,2020-03,3.93
equity_historical_running_peak_20pct_crossing,1962-06,-0.2245609144131585
equity_historical_running_peak_20pct_crossing,1962-10,-0.21703373292444927
equity_historical_running_peak_20pct_crossing,1970-05,-0.2858215962441314
equity_historical_running_peak_20pct_crossing,1974-02,-0.21072635135135132
equity_historical_running_peak_20pct_crossing,1974-04,-0.21908783783783792
equity_historical_running_peak_20pct_crossing,1977-10,-0.2082770270270271
equity_historical_running_peak_20pct_crossing,1978-11,-0.20008445945945952
equity_historical_running_peak_20pct_crossing,1987-11,-0.2562234365513053
equity_historical_running_peak_20pct_crossing,1988-04,-0.20279295689131738
equity_historical_running_peak_20pct_crossing,2001-03,-0.20169509781481842
equity_historical_running_peak_20pct_crossing,2001-08,-0.206643060062203
equity_historical_running_peak_20pct_crossing,2005-01,-0.20468407092752405
equity_historical_running_peak_20pct_crossing,2005-04,-0.21611487350719638
equity_historical_running_peak_20pct_crossing,2008-09,-0.2095982229842952
equity_historical_running_peak_20pct_crossing,2011-08,-0.23014821454087275
equity_historical_running_peak_20pct_crossing,2022-10,-0.20294500508161828
