indicator,horizon_months,event,split,eligible_months,first_signal_month,last_signal_month,unconditional_event_probability,nonalarm_event_probability,n_alarm_episodes,episode_hits,episode_false_alarms,episode_hit_rate,episode_false_alarm_fraction,false_alarm_wilson_95_low,false_alarm_wilson_95_high,lead_months_median,lead_months_min,lead_months_max,classical_fp_months,classical_tn_months,classical_fpr,classical_tp_months,classical_fn_months,monthly_sensitivity,note
baa_level_300,12,credit_onset_300,all,413,1986-01,2025-08,0.20581113801452786,0.20581113801452786,0,0,0,,,,,,,,0,328,0.0,0,85,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,credit_onset_300,training_pre2000,155,1986-01,1998-12,0.04516129032258064,0.04516129032258064,0,0,0,,,,,,,,0,148,0.0,0,7,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,credit_onset_300,holdout_2000plus,246,2000-01,2025-08,0.3170731707317073,0.3170731707317073,0,0,0,,,,,,,,0,168,0.0,0,78,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,equity_entry_loss_20,all,476,1986-01,2025-08,0.07352941176470588,0.05811138014527845,8,1,7,0.125,0.875,0.5291051942301386,0.9775830911367038,8.0,8.0,8.0,52,389,0.11791383219954649,11,24,0.3142857142857143,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,equity_entry_loss_20,training_pre2000,156,1986-01,1998-12,0.02564102564102564,0.025806451612903226,1,0,1,0.0,1.0,0.20654329147389294,1.0,,,,1,151,0.006578947368421052,0,4,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,equity_entry_loss_20,holdout_2000plus,308,2000-01,2025-08,0.10064935064935066,0.08130081300813008,7,1,6,0.14285714285714285,0.8571428571428571,0.48686549668097007,0.9743210440510253,8.0,8.0,8.0,51,226,0.18411552346570398,11,20,0.3548387096774194,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,equity_peak_drawdown_20,all,476,1986-01,2025-08,0.10504201680672269,0.09200968523002422,8,1,7,0.125,0.875,0.5291051942301386,0.9775830911367038,8.0,8.0,8.0,51,375,0.11971830985915492,12,38,0.24,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,equity_peak_drawdown_20,training_pre2000,156,1986-01,1998-12,0.07051282051282051,0.07096774193548387,1,0,1,0.0,1.0,0.20654329147389294,1.0,,,,1,144,0.006896551724137931,0,11,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,equity_peak_drawdown_20,holdout_2000plus,308,2000-01,2025-08,0.1266233766233766,0.10975609756097561,7,1,6,0.14285714285714285,0.8571428571428571,0.48686549668097007,0.9743210440510253,8.0,8.0,8.0,50,219,0.18587360594795538,12,27,0.3076923076923077,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,inflation_onset_400,all,382,1986-01,2024-09,0.15968586387434555,0.1723076923076923,7,1,6,0.14285714285714285,0.8571428571428571,0.48686549668097007,0.9743210440510253,12.0,12.0,12.0,52,269,0.16199376947040497,5,56,0.08196721311475409,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,inflation_onset_400,training_pre2000,113,1986-01,1998-12,0.1504424778761062,0.14285714285714285,1,1,0,1.0,0.0,0.0,0.7934567085261071,12.0,12.0,12.0,0,96,0.0,1,16,0.058823529411764705,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,inflation_onset_400,holdout_2000plus,257,2000-01,2024-09,0.17120622568093385,0.19900497512437812,6,0,6,0.0,1.0,0.6096569663469354,0.9999999999999999,,,,52,161,0.24413145539906103,4,40,0.09090909090909091,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,recession_onset,all,440,1986-01,2025-08,0.10909090909090909,0.11779448621553884,6,1,5,0.16666666666666666,0.8333333333333334,0.43649056343635395,0.9699474141282697,1.0,1.0,1.0,40,352,0.10204081632653061,1,47,0.020833333333333332,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,recession_onset,training_pre2000,148,1986-01,1998-12,0.08108108108108109,0.08163265306122448,1,0,1,0.0,1.0,0.20654329147389294,1.0,,,,1,135,0.007352941176470588,0,12,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,recession_onset,holdout_2000plus,280,2000-01,2025-08,0.12857142857142856,0.14583333333333334,5,1,4,0.2,0.8,0.3755282641185388,0.9637768390302125,1.0,1.0,1.0,39,205,0.1598360655737705,1,35,0.027777777777777776,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,recession_present_or_onset,all,476,1986-01,2025-08,0.17647058823529413,0.14769975786924938,8,3,5,0.375,0.625,0.30573785458380187,0.863158240538479,0.0,0.0,1.0,40,352,0.10204081632653061,23,61,0.27380952380952384,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,recession_present_or_onset,training_pre2000,156,1986-01,1998-12,0.1282051282051282,0.12903225806451613,1,0,1,0.0,1.0,0.20654329147389294,1.0,,,,1,135,0.007352941176470588,0,20,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,recession_present_or_onset,holdout_2000plus,308,2000-01,2025-08,0.2077922077922078,0.16666666666666666,7,3,4,0.42857142857142855,0.5714285714285714,0.2504542304090258,0.8417830777373732,0.0,0.0,1.0,39,205,0.1598360655737705,23,41,0.359375,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,credit_onset_300,all,410,1986-04,2025-08,0.2,0.2,0,0,0,,,,,,,,0,328,0.0,0,82,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,credit_onset_300,training_pre2000,152,1986-04,1998-12,0.02631578947368421,0.02631578947368421,0,0,0,,,,,,,,0,148,0.0,0,4,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,credit_onset_300,holdout_2000plus,246,2000-01,2025-08,0.3170731707317073,0.3170731707317073,0,0,0,,,,,,,,0,168,0.0,0,78,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
