indicator,horizon_months,event,signal_month,split,signal_value,alarm,outcome,first_event_month,lead_months
claims_rise_20pct,12,recession_onset,1968-01,training_pre2000,8.010012515644549,0,0,,
claims_rise_20pct,12,recession_onset,1968-02,training_pre2000,5.506883604505641,0,0,,
claims_rise_20pct,12,recession_onset,1968-03,training_pre2000,1.158301158301156,0,0,,
claims_rise_20pct,12,recession_onset,1968-04,training_pre2000,8.00542740841248,0,0,,
claims_rise_20pct,12,recession_onset,1968-05,training_pre2000,8.00542740841248,0,0,,
claims_rise_20pct,12,recession_onset,1968-06,training_pre2000,4.341926729986434,0,0,,
claims_rise_20pct,12,recession_onset,1968-07,training_pre2000,6.51289009497964,0,0,,
claims_rise_20pct,12,recession_onset,1968-08,training_pre2000,7.327001356852114,0,0,,
claims_rise_20pct,12,recession_onset,1968-09,training_pre2000,3.663500678426046,0,0,,
claims_rise_20pct,12,recession_onset,1968-10,training_pre2000,0.9497964721845387,0,0,,
claims_rise_20pct,12,recession_onset,1968-11,training_pre2000,0.0,0,0,,
claims_rise_20pct,12,recession_onset,1968-12,training_pre2000,8.42391304347827,0,0,,
claims_rise_20pct,12,recession_onset,1969-01,training_pre2000,4.0760869565217295,0,1,1970-01,12.0
claims_rise_20pct,12,recession_onset,1969-02,training_pre2000,6.521739130434789,0,1,1970-01,11.0
claims_rise_20pct,12,recession_onset,1969-03,training_pre2000,1.0869565217391353,0,1,1970-01,10.0
claims_rise_20pct,12,recession_onset,1969-04,training_pre2000,0.13605442176871652,0,1,1970-01,9.0
claims_rise_20pct,12,recession_onset,1969-05,training_pre2000,1.8156424581005526,0,1,1970-01,8.0
claims_rise_20pct,12,recession_onset,1969-06,training_pre2000,7.2625698324022325,0,1,1970-01,7.0
claims_rise_20pct,12,recession_onset,1969-07,training_pre2000,16.62011173184357,0,1,1970-01,6.0
claims_rise_20pct,12,recession_onset,1969-08,training_pre2000,11.17318435754191,0,1,1970-01,5.0
claims_rise_20pct,12,recession_onset,1969-09,training_pre2000,8.798882681564235,0,1,1970-01,4.0
claims_rise_20pct,12,recession_onset,1969-10,training_pre2000,11.312849162011162,0,1,1970-01,3.0
claims_rise_20pct,12,recession_onset,1969-11,training_pre2000,15.50279329608939,0,1,1970-01,2.0
claims_rise_20pct,12,recession_onset,1969-12,training_pre2000,22.76536312849162,1,1,1970-01,1.0
claims_rise_20pct,12,recession_onset,1970-12,training_pre2000,34.95038588754134,1,0,,
claims_rise_20pct,12,recession_onset,1971-01,training_pre2000,17.22440944881889,0,0,,
claims_rise_20pct,12,recession_onset,1971-02,training_pre2000,9.335899903753608,0,0,,
claims_rise_20pct,12,recession_onset,1971-03,training_pre2000,8.394833948339485,0,0,,
claims_rise_20pct,12,recession_onset,1971-04,training_pre2000,3.790613718411562,0,0,,
claims_rise_20pct,12,recession_onset,1971-05,training_pre2000,5.6859205776173205,0,0,,
claims_rise_20pct,12,recession_onset,1971-06,training_pre2000,7.039711191335729,0,0,,
claims_rise_20pct,12,recession_onset,1971-07,training_pre2000,7.310469314079415,0,0,,
claims_rise_20pct,12,recession_onset,1971-08,training_pre2000,15.030946065428829,0,0,,
claims_rise_20pct,12,recession_onset,1971-09,training_pre2000,13.262599469496017,0,0,,
claims_rise_20pct,12,recession_onset,1971-10,training_pre2000,5.128205128205132,0,0,,
claims_rise_20pct,12,recession_onset,1971-11,training_pre2000,1.5030946065428763,0,0,,
claims_rise_20pct,12,recession_onset,1971-12,training_pre2000,0.0,0,0,,
claims_rise_20pct,12,recession_onset,1972-01,training_pre2000,0.8426966292134797,0,0,,
claims_rise_20pct,12,recession_onset,1972-02,training_pre2000,0.0,0,0,,
claims_rise_20pct,12,recession_onset,1972-03,training_pre2000,1.742497579864466,0,0,,
claims_rise_20pct,12,recession_onset,1972-04,training_pre2000,2.3233301064859546,0,0,,
claims_rise_20pct,12,recession_onset,1972-05,training_pre2000,3.678606001936102,0,0,,
claims_rise_20pct,12,recession_onset,1972-06,training_pre2000,5.808325266214909,0,0,,
claims_rise_20pct,12,recession_onset,1972-07,training_pre2000,10.164569215876096,0,0,,
claims_rise_20pct,12,recession_onset,1972-08,training_pre2000,1.501501501501501,0,0,,
claims_rise_20pct,12,recession_onset,1972-09,training_pre2000,2.4024024024023927,0,0,,
