signal_month,claims_rise_20pct,sahm_050,curve_inverted,baa_level_300,baa_widening_100,nfci_positive,inflation_surge,inflation_400,cpi_yoy_change_12m
1954-01,,,,,,,,,
1954-02,,,1.3,,,,,,
1954-03,,,1.5000000000000002,,,,,,
1954-04,,,1.34,,,,,,
1954-05,,,1.32,,,,,,
1954-06,,,1.61,,,,,,
1954-07,,,1.7399999999999998,,,,,,
1954-08,,,1.5799999999999998,,,,,,
1954-09,,,1.44,,,,,,
1954-10,,,1.3699999999999999,,,,,,
1954-11,,,1.4500000000000002,,,,,,
1954-12,,,1.5499999999999998,,,,,,
1955-01,,,1.3599999999999999,,,,,,
1955-02,,,1.39,,,,-0.6310319227913919,-0.6310319227913919,
1955-03,,,1.48,,,,-0.6298629121896937,-0.6298629121896937,
1955-04,,,1.4000000000000001,,,,-0.519866320089124,-0.519866320089124,
1955-05,,,1.16,,,,-0.2606105733432673,-0.2606105733432673,
1955-06,,,1.3099999999999998,,,,-0.5941329372447068,-0.5941329372447068,
1955-07,,,1.3699999999999999,,,,-0.8537490720118779,-0.8537490720118779,
1955-08,,,1.2999999999999998,,,,-0.37230081906179935,-0.37230081906179935,
1955-09,,,1.0700000000000003,,,,-0.484171322160154,-0.484171322160154,
1955-10,,,0.9000000000000004,,,,0.14919806042521522,0.14919806042521522,
1955-11,,,0.6499999999999999,,,,0.37425149700598404,0.37425149700598404,
1955-12,,,0.6499999999999999,,,,0.37341299477220424,0.37341299477220424,
1956-01,,,0.41999999999999993,,,,0.37355248412402897,0.37355248412402897,
1956-02,,,0.48999999999999977,,,,0.22413149047439962,0.22413149047439962,0.8551634132657915
1956-03,,,0.52,,,,0.1491424310216205,0.1491424310216205,0.7790053432113142
1956-04,,,0.71,,,,0.3732736095558131,0.3732736095558131,0.8931399296449372
1956-05,,,0.5800000000000001,,,,0.5225830533781339,0.5225830533781339,0.7831936267214012
1956-06,,,0.45999999999999996,,,,0.9712364587224576,0.9712364587224576,1.5653693959671644
1956-07,,,0.5099999999999998,,,,1.647323099962561,1.647323099962561,2.501072171974439
1956-08,,,0.7999999999999998,,,,1.9805680119581393,1.9805680119581393,2.3528688310199386
1956-09,,,0.73,,,,2.208083832335328,2.208083832335328,2.692255154495482
1956-10,,,0.54,,,,1.862197392923659,1.862197392923659,1.7129993324984438
1956-11,,,0.43999999999999995,,,,2.572706935123037,2.572706935123037,2.198455438117053
1956-12,,,0.5,,,,2.34375,2.34375,1.9703370052277958
1957-01,,,0.3799999999999999,,,,2.828433196873825,2.828433196873825,2.4548807127497962
1957-02,,,0.3500000000000001,,,,3.130823704808061,3.130823704808061,2.9066922143336615
1957-03,,,0.23999999999999977,,,,3.4996276991809516,3.4996276991809516,3.350485268159331
