indicator,signal_month,horizon_months,recession_onset,months_after_onset,split
claims_rise_20pct,1969-12,12,1970-01,-1.0,training_pre2000
claims_rise_20pct,1973-12,12,1973-12,0.0,training_pre2000
claims_rise_20pct,1979-04,12,1980-02,-10.0,training_pre2000
claims_rise_20pct,1981-10,12,1981-08,2.0,training_pre2000
claims_rise_20pct,1989-10,12,1990-08,-10.0,training_pre2000
claims_rise_20pct,1990-10,12,1990-08,2.0,training_pre2000
claims_rise_20pct,2000-11,12,2001-04,-5.0,holdout_2000plus
claims_rise_20pct,2008-03,12,2008-01,2.0,holdout_2000plus
claims_rise_20pct,2020-03,12,2020-03,0.0,holdout_2000plus
sahm_050,1960-09,12,1960-05,4.0,training_pre2000
sahm_050,1969-11,12,1970-01,-2.0,training_pre2000
sahm_050,1974-04,12,1973-12,4.0,training_pre2000
sahm_050,1980-05,12,1980-02,3.0,training_pre2000
sahm_050,1981-12,12,1981-08,4.0,training_pre2000
sahm_050,1990-12,12,1990-08,4.0,training_pre2000
sahm_050,2001-07,12,2001-04,3.0,holdout_2000plus
sahm_050,2008-05,12,2008-01,4.0,holdout_2000plus
curve_inverted,1969-02,12,1970-01,-11.0,training_pre2000
curve_inverted,1973-07,12,1973-12,-5.0,training_pre2000
curve_inverted,1974-09,12,1973-12,9.0,training_pre2000
curve_inverted,1980-12,12,1981-08,-8.0,training_pre2000
curve_inverted,2000-09,12,2001-04,-7.0,holdout_2000plus
curve_inverted,2019-07,12,2020-03,-8.0,holdout_2000plus
curve_inverted,1969-02,24,1970-01,-11.0,training_pre2000
curve_inverted,1973-07,24,1973-12,-5.0,training_pre2000
curve_inverted,1979-01,24,1980-02,-13.0,training_pre2000
curve_inverted,2000-09,24,2001-04,-7.0,holdout_2000plus
curve_inverted,2006-09,24,2008-01,-16.0,holdout_2000plus
curve_inverted,2019-07,24,2020-03,-8.0,holdout_2000plus
baa_level_300,2001-03,12,2001-04,-1.0,holdout_2000plus
baa_level_300,2008-02,12,2008-01,1.0,holdout_2000plus
baa_level_300,2020-03,12,2020-03,0.0,holdout_2000plus
baa_widening_100,2008-10,12,2008-01,9.0,holdout_2000plus
baa_widening_100,2020-03,12,2020-03,0.0,holdout_2000plus
nfci_positive,1973-02,12,1973-12,-10.0,training_pre2000
nfci_positive,1990-09,12,1990-08,1.0,training_pre2000
nfci_positive,2000-06,12,2001-04,-10.0,holdout_2000plus
nfci_positive,2007-09,12,2008-01,-4.0,holdout_2000plus
nfci_positive,2020-04,12,2020-03,1.0,holdout_2000plus
inflation_surge,1973-06,12,1973-12,-6.0,training_pre2000
inflation_surge,2007-12,12,2008-01,-1.0,holdout_2000plus
inflation_400,1973-04,12,1973-12,-8.0,training_pre2000
inflation_400,2007-12,12,2008-01,-1.0,holdout_2000plus
