indicator_a,indicator_b,first_month,last_month,n_months,alarm_phi_correlation,alarm_jaccard
claims_rise_20pct,sahm_050,1968-01,2026-08,703,0.45058579938716675,0.3811881188118812
claims_rise_20pct,curve_inverted,1968-01,2026-08,704,0.16047000301850636,0.16483516483516483
claims_rise_20pct,baa_level_300,1986-01,2026-08,488,0.2879414000421247,0.22916666666666666
claims_rise_20pct,baa_widening_100,1986-04,2026-08,485,0.28537588184602075,0.09090909090909091
claims_rise_20pct,nfci_positive,1971-02,2026-08,667,0.3816627778092773,0.3231441048034934
claims_rise_20pct,inflation_surge,1968-01,2026-08,703,0.23510924974321257,0.19631901840490798
claims_rise_20pct,inflation_400,1968-01,2026-08,703,0.31039401548650736,0.2842465753424658
sahm_050,curve_inverted,1960-01,2026-08,799,-0.07832881145838141,0.04980842911877394
sahm_050,baa_level_300,1986-01,2026-08,487,0.24835974257999024,0.21666666666666667
sahm_050,baa_widening_100,1986-04,2026-08,484,0.11614881010987702,0.03529411764705882
sahm_050,nfci_positive,1971-02,2026-08,666,0.2759745060318484,0.2943396226415094
sahm_050,inflation_surge,1960-01,2026-08,799,-0.01668429921997313,0.06329113924050633
sahm_050,inflation_400,1960-01,2026-08,799,0.17140188670589093,0.23782234957020057
curve_inverted,baa_level_300,1986-01,2026-08,488,-0.09986505292923148,0.009433962264150943
curve_inverted,baa_widening_100,1986-04,2026-08,485,0.03883243465419426,0.020833333333333332
curve_inverted,nfci_positive,1971-02,2026-08,667,0.16428979057855134,0.175
curve_inverted,inflation_surge,1956-02,2026-08,846,0.3054321761006987,0.22857142857142856
curve_inverted,inflation_400,1955-02,2026-08,858,0.21076870036028852,0.18518518518518517
baa_level_300,baa_widening_100,1986-04,2026-08,485,0.2641498292165496,0.07936507936507936
baa_level_300,nfci_positive,1986-01,2026-08,488,0.17799961417712265,0.17094017094017094
baa_level_300,inflation_surge,1986-01,2026-08,487,0.024804505131995464,0.056179775280898875
baa_level_300,inflation_400,1986-01,2026-08,487,-0.06261883030278169,0.05
baa_widening_100,nfci_positive,1986-04,2026-08,485,0.18376265662381974,0.05333333333333334
baa_widening_100,inflation_surge,1986-04,2026-08,484,0.05673005324126809,0.02857142857142857
baa_widening_100,inflation_400,1986-04,2026-08,484,0.007134401994440197,0.011363636363636364
nfci_positive,inflation_surge,1971-02,2026-08,666,0.34829659614817715,0.2558139534883721
nfci_positive,inflation_400,1971-02,2026-08,666,0.5611122595898324,0.5347985347985348
inflation_surge,inflation_400,1956-02,2026-08,846,0.47481791091289893,0.29411764705882354
