thesis_cluster,n,unknown_n,unknown_fraction,supported_n
AI_BUBBLE,199,47,0.23618090452261306,122
BUSINESS_CYCLE,32,8,0.25,22
CHINA_GOLD_MONETARY_RESET,85,12,0.1411764705882353,61
CREDIT_BANKING,49,5,0.10204081632653061,39
CRYPTO,48,9,0.1875,33
DOLLAR_DEDOLLARIZATION,69,12,0.17391304347826086,40
EQUITY_VALUATION,130,43,0.33076923076923076,68
FED_RATES_FINANCIAL_REPRESSION,76,6,0.07894736842105263,61
HOUSING_REAL_ESTATE,5,2,0.4,3
INFLATION,67,19,0.2835820895522388,46
JAPAN_YEN_CARRY,45,9,0.2,30
LABOR_CONSUMER,55,9,0.16363636363636364,38
LIQUIDITY_PLUMBING,22,4,0.18181818181818182,14
OIL_ENERGY_GEOPOLITICS,138,32,0.2318840579710145,85
OTHER,194,119,0.6134020618556701,61
PRECIOUS_METALS,60,16,0.26666666666666666,34
SOVEREIGN_DEBT_FISCAL,126,11,0.0873015873015873,90
TARIFFS_TRADE,30,8,0.26666666666666666,22
