specification,stratum,weight,bravos_n,jikh_n,bravos_rate,jikh_rate
claim_type,DATA_POINT,0.6209829867674859,343,314,0.7696793002915452,0.8184713375796179
claim_type,POLICY_FACT,0.1880907372400756,60,139,0.8333333333333334,0.8920863309352518
claim_type,RECOMMENDATION,0.017958412098298678,14,5,0.5714285714285714,1.0
claim_type,SELF_PERFORMANCE,0.017013232514177693,10,8,0.5,0.875
claim_type,SOURCE_CITATION,0.15595463137996218,38,127,0.868421052631579,0.9133858267716536
thesis_cluster,AI_BUBBLE,0.14312796208530806,72,79,0.7222222222222222,0.8860759493670886
thesis_cluster,BUSINESS_CYCLE,0.022748815165876776,23,1,0.9130434782608695,1.0
thesis_cluster,CHINA_GOLD_MONETARY_RESET,0.06919431279620854,22,51,0.7727272727272727,0.8627450980392157
thesis_cluster,CREDIT_BANKING,0.04170616113744076,8,36,0.875,0.8888888888888888
thesis_cluster,CRYPTO,0.03696682464454976,2,37,0.5,0.8648648648648649
thesis_cluster,DOLLAR_DEDOLLARIZATION,0.05402843601895735,13,44,0.6923076923076923,0.7045454545454546
thesis_cluster,EQUITY_VALUATION,0.08246445497630332,68,19,0.7647058823529411,0.8421052631578947
thesis_cluster,FED_RATES_FINANCIAL_REPRESSION,0.06635071090047394,33,37,0.8181818181818182,0.918918918918919
thesis_cluster,INFLATION,0.04549763033175355,32,16,0.9375,1.0
thesis_cluster,JAPAN_YEN_CARRY,0.034123222748815164,8,28,0.875,0.8214285714285714
thesis_cluster,LABOR_CONSUMER,0.043601895734597156,31,15,0.7741935483870968,0.9333333333333333
thesis_cluster,LIQUIDITY_PLUMBING,0.017061611374407582,10,8,0.7,0.875
thesis_cluster,OIL_ENERGY_GEOPOLITICS,0.1004739336492891,47,59,0.8936170212765957,0.7288135593220338
thesis_cluster,OTHER,0.07109004739336493,23,52,0.5217391304347826,0.9423076923076923
thesis_cluster,PRECIOUS_METALS,0.04170616113744076,16,28,0.625,0.8571428571428571
thesis_cluster,SOVEREIGN_DEBT_FISCAL,0.10900473933649289,50,65,0.7,0.8461538461538461
thesis_cluster,TARIFFS_TRADE,0.02085308056872038,4,18,1.0,1.0
type_and_topic,DATA_POINT|AI_BUBBLE,0.10215053763440861,61,34,0.6885245901639344,0.8235294117647058
type_and_topic,DATA_POINT|CHINA_GOLD_MONETARY_RESET,0.04086021505376344,9,29,0.7777777777777778,0.7931034482758621
type_and_topic,DATA_POINT|CREDIT_BANKING,0.024731182795698924,8,15,0.875,0.8
type_and_topic,DATA_POINT|CRYPTO,0.007526881720430108,2,5,0.5,0.4
type_and_topic,DATA_POINT|DOLLAR_DEDOLLARIZATION,0.035483870967741936,12,21,0.6666666666666666,0.5238095238095238
type_and_topic,DATA_POINT|EQUITY_VALUATION,0.08602150537634409,62,18,0.7741935483870968,0.8333333333333334
type_and_topic,DATA_POINT|FED_RATES_FINANCIAL_REPRESSION,0.034408602150537634,13,19,0.7692307692307693,0.8947368421052632
type_and_topic,DATA_POINT|INFLATION,0.046236559139784944,31,12,0.9354838709677419,1.0
type_and_topic,DATA_POINT|JAPAN_YEN_CARRY,0.02258064516129032,5,16,0.8,0.75
type_and_topic,DATA_POINT|LABOR_CONSUMER,0.04516129032258064,28,14,0.75,0.9285714285714286
type_and_topic,DATA_POINT|LIQUIDITY_PLUMBING,0.010752688172043012,7,3,0.7142857142857143,1.0
type_and_topic,DATA_POINT|OIL_ENERGY_GEOPOLITICS,0.06989247311827956,29,36,0.9310344827586207,0.75
type_and_topic,DATA_POINT|OTHER,0.02795698924731183,2,24,1.0,1.0
type_and_topic,DATA_POINT|PRECIOUS_METALS,0.03655913978494624,15,19,0.6,0.7894736842105263
type_and_topic,DATA_POINT|SOVEREIGN_DEBT_FISCAL,0.08387096774193549,35,43,0.6285714285714286,0.8604651162790697
type_and_topic,DATA_POINT|TARIFFS_TRADE,0.00967741935483871,3,6,1.0,1.0
type_and_topic,POLICY_FACT|AI_BUBBLE,0.016129032258064516,3,12,1.0,0.8333333333333334
type_and_topic,POLICY_FACT|CHINA_GOLD_MONETARY_RESET,0.01935483870967742,9,9,0.6666666666666666,1.0
type_and_topic,POLICY_FACT|DOLLAR_DEDOLLARIZATION,0.012903225806451613,1,11,1.0,0.9090909090909091
type_and_topic,POLICY_FACT|FED_RATES_FINANCIAL_REPRESSION,0.02903225806451613,16,11,0.8125,0.9090909090909091
type_and_topic,POLICY_FACT|JAPAN_YEN_CARRY,0.011827956989247311,3,8,1.0,0.875
type_and_topic,POLICY_FACT|LIQUIDITY_PLUMBING,0.005376344086021506,3,2,0.6666666666666666,1.0
type_and_topic,POLICY_FACT|OIL_ENERGY_GEOPOLITICS,0.02795698924731183,12,14,0.75,0.6428571428571429
type_and_topic,POLICY_FACT|SOVEREIGN_DEBT_FISCAL,0.02043010752688172,11,8,1.0,0.875
type_and_topic,POLICY_FACT|TARIFFS_TRADE,0.010752688172043012,1,9,1.0,1.0
