spec,gap,rank,date,score,dimensions
both_vectors_in_candidate_prior_CDF,24,1,2021-11-01,89.32773233188591,11
both_vectors_in_candidate_prior_CDF,24,2,2007-10-01,88.8090065025476,11
both_vectors_in_candidate_prior_CDF,24,3,1946-06-01,85.01180744408357,7
both_vectors_in_candidate_prior_CDF,24,4,2005-09-01,84.60649243782268,11
both_vectors_in_candidate_prior_CDF,24,5,1996-02-01,82.69469653973049,11
both_vectors_in_candidate_prior_CDF,24,6,1967-11-01,82.11831557521079,10
both_vectors_in_candidate_prior_CDF,24,7,2001-02-01,81.85469392517066,11
both_vectors_in_candidate_prior_CDF,24,8,2003-03-01,80.62409171769265,11
both_vectors_in_candidate_prior_CDF,24,9,2017-09-01,80.48656595832811,11
both_vectors_in_candidate_prior_CDF,24,10,2011-07-01,79.54454158120714,11
both_vectors_in_candidate_prior_CDF,24,11,1956-07-01,78.20451188138492,7
both_vectors_in_candidate_prior_CDF,24,12,1973-02-01,76.95847360974649,11
both_vectors_in_candidate_prior_CDF,60,1,2007-10-01,88.8090065025476,11
both_vectors_in_candidate_prior_CDF,60,2,2021-07-01,87.37873874021479,11
both_vectors_in_candidate_prior_CDF,60,3,1946-06-01,85.01180744408357,7
both_vectors_in_candidate_prior_CDF,60,4,1996-02-01,82.69469653973049,11
both_vectors_in_candidate_prior_CDF,60,5,1967-11-01,82.11831557521079,10
both_vectors_in_candidate_prior_CDF,60,6,2001-02-01,81.85469392517066,11
both_vectors_in_candidate_prior_CDF,60,7,1956-07-01,78.20451188138492,7
both_vectors_in_candidate_prior_CDF,60,8,1973-02-01,76.95847360974649,11
