method,threshold,horizon,n,median,mean,minimum,maximum,negative_pct,first_start,last_start
original_Shiller_stops_2023June,30.0,1,99,4.129211870290428,0.8288366500544266,-29.785110229629975,29.354554815791325,44.44444444444444,1929-08-01,2022-05-01
original_Shiller_stops_2023June,30.0,3,77,-0.09775362778177143,3.5690754839379593,-60.86769120262875,63.758503837162905,50.649350649350644,1929-08-01,2020-02-01
original_Shiller_stops_2023June,30.0,5,68,-12.528063277771768,-4.83071250622057,-50.82233104038092,43.6533172782168,72.05882352941177,1929-08-01,2018-06-01
original_Shiller_stops_2023June,35.0,1,47,-8.62412176199021,-3.6590209378584078,-29.785110229629975,22.414286263291938,57.446808510638306,1998-03-01,2022-02-01
original_Shiller_stops_2023June,35.0,3,34,-25.550710293431194,-22.038738314567084,-43.05166991658964,9.057158854596281,85.29411764705883,1998-03-01,2001-02-01
original_Shiller_stops_2023June,35.0,5,34,-19.339621496037385,-18.1125740812323,-25.81111294009444,-6.160957530552591,100.0,1998-03-01,2001-02-01
original_Shiller_stops_2023June,40.0,1,21,-3.1181925542813183,-4.288804604847321,-29.785110229629975,12.497529606926406,52.38095238095239,1999-01-01,2000-09-01
original_Shiller_stops_2023June,40.0,3,21,-34.76328181455221,-31.598251031299917,-43.05166991658964,-12.058740166019245,100.0,1999-01-01,2000-09-01
original_Shiller_stops_2023June,40.0,5,21,-20.670855122677956,-19.880436503385898,-24.283970268290823,-12.995315900502135,100.0,1999-01-01,2000-09-01
Shiller_then_French_extension,30.0,1,103,4.44686164276189,1.5653316807288262,-29.785110229629975,32.39162113654115,42.71844660194174,1929-08-01,2023-09-01
Shiller_then_French_extension,30.0,3,101,9.293946207633507,6.978903780642275,-60.86769120262875,63.758503837162905,38.613861386138616,1929-08-01,2023-07-01
Shiller_then_French_extension,30.0,5,89,-5.341966017300881,8.409216141307263,-50.82233104038092,69.50841801454364,55.0561797752809,1929-08-01,2021-07-01
Shiller_then_French_extension,35.0,1,47,-8.62412176199021,-3.6590209378584078,-29.785110229629975,22.414286263291938,57.446808510638306,1998-03-01,2022-02-01
Shiller_then_French_extension,35.0,3,47,-13.739422456349148,-11.860840583777529,-43.05166991658964,22.082619788094448,61.702127659574465,1998-03-01,2022-02-01
Shiller_then_French_extension,35.0,5,40,-18.683760551501997,-8.144004074390745,-25.81111294009444,53.6955910424125,85.0,1998-03-01,2021-07-01
Shiller_then_French_extension,40.0,1,21,-3.1181925542813183,-4.288804604847321,-29.785110229629975,12.497529606926406,52.38095238095239,1999-01-01,2000-09-01
Shiller_then_French_extension,40.0,3,21,-34.76328181455221,-31.598251031299917,-43.05166991658964,-12.058740166019245,100.0,1999-01-01,2000-09-01
Shiller_then_French_extension,40.0,5,21,-20.670855122677956,-19.880436503385898,-24.283970268290823,-12.995315900502135,100.0,1999-01-01,2000-09-01
French_market_only,30.0,1,103,2.4858381696600373,0.9880343163532218,-35.07886600641914,36.283179360718606,43.689320388349515,1929-08-01,2023-09-01
French_market_only,30.0,3,101,7.703144020984332,7.61534150242569,-61.60539590907543,66.73073178891431,37.62376237623762,1929-08-01,2023-07-01
French_market_only,30.0,5,89,3.705436210842916,10.19226687759645,-51.33038756495634,74.68692939810883,49.43820224719101,1929-08-01,2021-07-01
French_market_only,35.0,1,47,-11.929631829350972,-4.395730463323345,-31.371956773398747,36.21192788821463,57.446808510638306,1998-03-01,2022-02-01
French_market_only,35.0,3,47,-12.126473047677244,-11.509293154177406,-46.38768366546675,24.44518568104459,61.702127659574465,1998-03-01,2022-02-01
French_market_only,35.0,5,40,-14.481757754571712,-5.137830090268013,-27.61768222133394,48.355200696852954,80.0,1998-03-01,2021-07-01
French_market_only,40.0,1,21,-7.5393275530939885,-4.001439773811957,-31.371956773398747,20.8932793000977,52.38095238095239,1999-01-01,2000-09-01
French_market_only,40.0,3,21,-32.26016825403954,-30.876371148125507,-46.38768366546675,-11.964328613860753,100.0,1999-01-01,2000-09-01
French_market_only,40.0,5,21,-16.446423604815774,-16.189860806282628,-24.107240165548927,-6.399623846079605,100.0,1999-01-01,2000-09-01
