method,threshold,horizon,start,real_return
original_Shiller_stops_2023June,30.0,1,1929-08-01,-24.500180426234962
original_Shiller_stops_2023June,30.0,1,1929-09-01,-27.764552243917752
original_Shiller_stops_2023June,30.0,1,1997-06-01,26.34110810361554
original_Shiller_stops_2023June,30.0,1,1997-07-01,24.828385000762342
original_Shiller_stops_2023June,30.0,1,1997-08-01,15.798260712410395
original_Shiller_stops_2023June,30.0,1,1997-09-01,8.966612982144495
original_Shiller_stops_2023June,30.0,1,1997-10-01,8.5900564099882
original_Shiller_stops_2023June,30.0,1,1997-11-01,21.835482304855837
original_Shiller_stops_2023June,30.0,1,1997-12-01,23.501756694158015
original_Shiller_stops_2023June,30.0,1,1998-01-01,29.354554815791325
original_Shiller_stops_2023June,30.0,1,1998-02-01,21.567528075217645
original_Shiller_stops_2023June,30.0,1,1998-03-01,18.66929605436809
original_Shiller_stops_2023June,30.0,1,1998-04-01,18.992822614310057
original_Shiller_stops_2023June,30.0,1,1998-05-01,19.358911880975427
original_Shiller_stops_2023June,30.0,1,1998-06-01,18.634927483118325
original_Shiller_stops_2023June,30.0,1,1998-07-01,18.48669513014243
original_Shiller_stops_2023June,30.0,1,1998-08-01,22.414286263291938
original_Shiller_stops_2023June,30.0,1,1998-09-01,27.495419055265003
original_Shiller_stops_2023June,30.0,1,1998-10-01,24.351161668794717
original_Shiller_stops_2023June,30.0,1,1998-11-01,19.94451483832822
original_Shiller_stops_2023June,30.0,1,1998-12-01,18.37995690440892
original_Shiller_stops_2023June,30.0,1,1999-01-01,12.497529606926406
original_Shiller_stops_2023June,30.0,1,1999-02-01,9.268971670853166
original_Shiller_stops_2023June,30.0,1,1999-03-01,9.779057111259014
original_Shiller_stops_2023June,30.0,1,1999-04-01,7.517718811784135
original_Shiller_stops_2023June,30.0,1,1999-05-01,4.44686164276189
original_Shiller_stops_2023June,30.0,1,1999-06-01,7.848425784273205
original_Shiller_stops_2023June,30.0,1,1999-07-01,4.129211870290428
original_Shiller_stops_2023June,30.0,1,1999-08-01,9.492021515691619
original_Shiller_stops_2023June,30.0,1,1999-09-01,8.914657409077087
original_Shiller_stops_2023June,30.0,1,1999-10-01,4.5718366286984
original_Shiller_stops_2023June,30.0,1,1999-11-01,-3.1181925542813183
original_Shiller_stops_2023June,30.0,1,1999-12-01,-8.841633967643503
original_Shiller_stops_2023June,30.0,1,2000-01-01,-8.62412176199021
original_Shiller_stops_2023June,30.0,1,2000-02-01,-8.12855962848662
original_Shiller_stops_2023June,30.0,1,2000-03-01,-19.15954588121238
original_Shiller_stops_2023June,30.0,1,2000-04-01,-20.207991004358348
original_Shiller_stops_2023June,30.0,1,2000-05-01,-12.52097514035625
original_Shiller_stops_2023June,30.0,1,2000-06-01,-16.93502263521216
original_Shiller_stops_2023June,30.0,1,2000-07-01,-19.413358859371844
original_Shiller_stops_2023June,30.0,1,2000-08-01,-21.79667709086649
original_Shiller_stops_2023June,30.0,1,2000-09-01,-29.785110229629975
original_Shiller_stops_2023June,30.0,1,2000-10-01,-23.173566712528505
original_Shiller_stops_2023June,30.0,1,2000-11-01,-18.478579644290615
original_Shiller_stops_2023June,30.0,1,2000-12-01,-14.152826549824082
original_Shiller_stops_2023June,30.0,1,2001-01-01,-14.450370463757544
original_Shiller_stops_2023June,30.0,1,2001-02-01,-15.50954467477198
original_Shiller_stops_2023June,30.0,1,2001-03-01,-2.8004798871615444
original_Shiller_stops_2023June,30.0,1,2001-04-01,-6.784490827348333
original_Shiller_stops_2023June,30.0,1,2001-05-01,-14.859595224545863
original_Shiller_stops_2023June,30.0,1,2001-06-01,-17.84684876583521
original_Shiller_stops_2023June,30.0,1,2001-07-01,-24.977073255966264
original_Shiller_stops_2023June,30.0,1,2001-08-01,-22.795636164873535
original_Shiller_stops_2023June,30.0,1,2001-11-01,-19.929756947211906
original_Shiller_stops_2023June,30.0,1,2001-12-01,-22.039570081729753
original_Shiller_stops_2023June,30.0,1,2002-01-01,-22.147680801464208
original_Shiller_stops_2023June,30.0,1,2002-03-01,-27.525015961620024
original_Shiller_stops_2023June,30.0,1,2017-07-01,12.656343594233753
original_Shiller_stops_2023June,30.0,1,2017-09-01,15.919869269318276
original_Shiller_stops_2023June,30.0,1,2017-10-01,8.23194118968631
original_Shiller_stops_2023June,30.0,1,2017-11-01,4.680398654154327
original_Shiller_stops_2023June,30.0,1,2017-12-01,-3.6610758089608564
original_Shiller_stops_2023June,30.0,1,2018-01-01,-6.202950631131321
original_Shiller_stops_2023June,30.0,1,2018-02-01,2.2466094635039457
original_Shiller_stops_2023June,30.0,1,2018-03-01,3.821277836817427
original_Shiller_stops_2023June,30.0,1,2018-04-01,9.364911669687315
original_Shiller_stops_2023June,30.0,1,2018-05-01,5.832141010398151
original_Shiller_stops_2023June,30.0,1,2018-06-01,5.2446455128216
original_Shiller_stops_2023June,30.0,1,2018-07-01,7.3996951391174015
original_Shiller_stops_2023June,30.0,1,2018-08-01,1.6058334368916238
original_Shiller_stops_2023June,30.0,1,2018-09-01,3.049136418784526
original_Shiller_stops_2023June,30.0,1,2018-10-01,7.128967481507731
original_Shiller_stops_2023June,30.0,1,2018-11-01,13.928349427327635
original_Shiller_stops_2023June,30.0,1,2019-04-01,-3.340023233412215
original_Shiller_stops_2023June,30.0,1,2019-12-01,16.906502145751713
original_Shiller_stops_2023June,30.0,1,2020-01-01,16.237915626352684
original_Shiller_stops_2023June,30.0,1,2020-02-01,18.663481076533305
original_Shiller_stops_2023June,30.0,1,2020-08-01,26.657257499764555
original_Shiller_stops_2023June,30.0,1,2020-09-01,27.182493151181532
original_Shiller_stops_2023June,30.0,1,2020-10-01,24.607960738972046
original_Shiller_stops_2023June,30.0,1,2020-11-01,24.86726072144947
original_Shiller_stops_2023June,30.0,1,2020-12-01,19.82904168406179
original_Shiller_stops_2023June,30.0,1,2021-01-01,13.708936462948529
original_Shiller_stops_2023June,30.0,1,2021-02-01,7.335413408938685
original_Shiller_stops_2023June,30.0,1,2021-03-01,4.859750886113567
original_Shiller_stops_2023June,30.0,1,2021-04-01,-0.7180079383889537
original_Shiller_stops_2023June,30.0,1,2021-05-01,-9.493165291716243
original_Shiller_stops_2023June,30.0,1,2021-06-01,-14.473295563956457
original_Shiller_stops_2023June,30.0,1,2021-07-01,-16.222933214304724
original_Shiller_stops_2023June,30.0,1,2021-08-01,-12.51737243823271
original_Shiller_stops_2023June,30.0,1,2021-09-01,-18.769382352973597
original_Shiller_stops_2023June,30.0,1,2021-10-01,-21.302329956081532
original_Shiller_stops_2023June,30.0,1,2021-11-01,-20.42703370829774
original_Shiller_stops_2023June,30.0,1,2021-12-01,-20.139543357408463
original_Shiller_stops_2023June,30.0,1,2022-01-01,-17.30986596255918
original_Shiller_stops_2023June,30.0,1,2022-02-01,-11.84784501245476
original_Shiller_stops_2023June,30.0,1,2022-03-01,-12.43997882586062
original_Shiller_stops_2023June,30.0,1,2022-04-01,-9.050275841499788
original_Shiller_stops_2023June,30.0,1,2022-05-01,0.29270232923841455
original_Shiller_stops_2023June,30.0,3,1929-08-01,-60.86769120262875
original_Shiller_stops_2023June,30.0,3,1929-09-01,-58.27264876211744
original_Shiller_stops_2023June,30.0,3,1997-06-01,61.6482700072938
original_Shiller_stops_2023June,30.0,3,1997-07-01,54.0123399434989
original_Shiller_stops_2023June,30.0,3,1997-08-01,55.208897930383394
original_Shiller_stops_2023June,30.0,3,1997-09-01,51.3123451619137
original_Shiller_stops_2023June,30.0,3,1997-10-01,41.20648460212746
original_Shiller_stops_2023June,30.0,3,1997-11-01,41.57820814357598
original_Shiller_stops_2023June,30.0,3,1997-12-01,33.27474021896053
original_Shiller_stops_2023June,30.0,3,1998-01-01,32.97079809030874
original_Shiller_stops_2023June,30.0,3,1998-02-01,22.03796785019776
original_Shiller_stops_2023June,30.0,3,1998-03-01,5.3141209181362115
original_Shiller_stops_2023June,30.0,3,1998-04-01,2.084594442281018
original_Shiller_stops_2023June,30.0,3,1998-05-01,9.057158854596281
original_Shiller_stops_2023June,30.0,3,1998-06-01,6.278234303603769
original_Shiller_stops_2023June,30.0,3,1998-07-01,-0.5727970430813079
original_Shiller_stops_2023June,30.0,3,1998-08-01,4.818945367110117
original_Shiller_stops_2023June,30.0,3,1998-09-01,-2.4987622751852734
original_Shiller_stops_2023June,30.0,3,1998-10-01,-0.09775362778177143
original_Shiller_stops_2023June,30.0,3,1998-11-01,-5.268511266683973
original_Shiller_stops_2023June,30.0,3,1998-12-01,-7.359538468448024
original_Shiller_stops_2023June,30.0,3,1999-01-01,-12.058740166019245
original_Shiller_stops_2023June,30.0,3,1999-02-01,-15.182585071163246
original_Shiller_stops_2023June,30.0,3,1999-03-01,-13.739422456349148
original_Shiller_stops_2023June,30.0,3,1999-04-01,-20.029903984507236
original_Shiller_stops_2023June,30.0,3,1999-05-01,-22.207981773489273
