sample,asset,horizon,n,median,mean,minimum,maximum,negative_pct
original_including_truncated,BOND10Y,1,13,2.0129,1.028515384615385,-22.0121,14.6398,38.46153846153847
original_including_truncated,BOND10Y,3,13,5.552300000000001,5.367061538461537,-23.4099,32.232699999999994,38.46153846153847
original_including_truncated,BOND10Y,5,13,12.9054,8.445446153846154,-23.7649,33.8365,30.76923076923077
original_including_truncated,BusEq,1,13,6.268999999999999,-3.7217692307692305,-53.809200000000004,46.152100000000004,38.46153846153847
original_including_truncated,BusEq,3,13,45.281,27.33762307692308,-76.2269,127.2448,38.46153846153847
original_including_truncated,BusEq,5,13,49.6566,48.43075384615384,-66.8236,181.4056,23.076923076923077
original_including_truncated,CASH,1,13,-0.1676,-1.344530769230769,-14.6935,2.3579,53.84615384615385
original_including_truncated,CASH,3,13,-2.1153999999999997,-1.9157,-20.1214,9.1946,69.23076923076923
original_including_truncated,CASH,5,13,-1.7079,-2.7183384615384614,-24.462400000000002,13.506499999999999,69.23076923076923
original_including_truncated,Chems,1,13,3.6611,2.94213076923077,-25.4382,23.5141,38.46153846153847
original_including_truncated,Chems,3,13,22.981199999999998,17.332084615384616,-24.846899999999998,42.9348,30.76923076923077
original_including_truncated,Chems,5,13,37.0223,40.16366153846154,-17.8347,149.0674,7.6923076923076925
original_including_truncated,Durbl,1,13,-0.13699999999999998,-6.0375538461538465,-61.070899999999995,59.32619999999999,53.84615384615385
original_including_truncated,Durbl,3,13,12.5196,22.65501538461538,-34.2077,195.49669999999998,38.46153846153847
original_including_truncated,Durbl,5,13,10.543,35.111215384615384,-25.2954,195.7762,30.76923076923077
original_including_truncated,Enrgy,1,13,-2.4920999999999998,6.043976923076922,-31.385099999999998,65.41369999999999,53.84615384615385
original_including_truncated,Enrgy,3,13,10.7999,20.65154615384616,-28.111399999999996,119.5073,30.76923076923077
original_including_truncated,Enrgy,5,13,56.6921,60.67231538461538,-30.3489,189.6275,23.076923076923077
original_including_truncated,GOLD,1,10,1.5251000000000001,0.6650200000000004,-16.8441,28.490399999999998,50.0
original_including_truncated,GOLD,3,10,30.498349999999995,24.130380000000002,-33.2713,69.8081,30.0
original_including_truncated,GOLD,5,10,56.29595,58.399939999999994,-42.999500000000005,153.6676,20.0
original_including_truncated,Hlth,1,13,13.0661,6.6300923076923075,-33.2046,30.6292,30.76923076923077
original_including_truncated,Hlth,3,13,10.1022,19.02471538461538,-37.816,100.58739999999999,38.46153846153847
original_including_truncated,Hlth,5,13,22.8265,37.72266153846154,-13.0246,128.9581,15.384615384615385
original_including_truncated,MKT,1,13,6.8375,-0.11601538461538478,-38.208999999999996,36.8065,38.46153846153847
original_including_truncated,MKT,3,13,23.7697,18.765607692307693,-44.133,78.121,38.46153846153847
original_including_truncated,MKT,5,13,41.4585,36.67594615384616,-18.4189,137.0106,23.076923076923077
original_including_truncated,Manuf,1,13,3.6089999999999995,2.6809230769230754,-46.1974,46.7771,30.76923076923077
original_including_truncated,Manuf,3,13,20.7895,21.516761538461537,-37.2684,96.8391,23.076923076923077
original_including_truncated,Manuf,5,13,43.0985,52.10102307692308,-10.5183,187.37539999999998,7.6923076923076925
original_including_truncated,Money,1,13,8.4352,6.2572230769230766,-49.9461,44.0095,38.46153846153847
original_including_truncated,Money,3,13,38.3821,28.26971538461538,-48.9043,91.4557,23.076923076923077
original_including_truncated,Money,5,13,42.4014,42.90345384615384,-43.5548,148.9233,15.384615384615385
original_including_truncated,NoDur,1,13,8.423,7.607738461538461,-29.089399999999998,34.7879,23.076923076923077
original_including_truncated,NoDur,3,13,15.598899999999999,18.934161538461534,-34.498200000000004,46.434999999999995,7.6923076923076925
original_including_truncated,NoDur,5,13,34.502500000000005,35.71770769230769,-20.3399,92.07610000000001,7.6923076923076925
original_including_truncated,Other,1,13,5.8756,-1.9318307692307686,-42.784299999999995,39.0283,38.46153846153847
original_including_truncated,Other,3,13,26.708199999999998,12.529530769230771,-46.5548,68.5416,38.46153846153847
original_including_truncated,Other,5,13,17.371,24.59049230769231,-23.1421,126.10459999999999,30.76923076923077
original_including_truncated,SIXTY40,1,13,4.8435,0.1456076923076923,-23.410800000000002,22.016,38.46153846153847
original_including_truncated,SIXTY40,3,13,10.7678,12.55091538461539,-25.862099999999998,53.5942,30.76923076923077
original_including_truncated,SIXTY40,5,13,12.245000000000001,24.566207692307692,-4.9079999999999995,69.9586,7.6923076923076925
original_including_truncated,Shops,1,13,5.4060999999999995,3.6290692307692307,-30.1662,38.369,23.076923076923077
original_including_truncated,Shops,3,13,17.1732,25.487161538461546,-30.5578,99.6627,30.76923076923077
original_including_truncated,Shops,5,13,39.3078,44.69527692307692,-10.0424,102.6054,7.6923076923076925
original_including_truncated,Telcm,1,13,4.6991,-3.9462692307692313,-41.9041,26.4028,38.46153846153847
original_including_truncated,Telcm,3,13,4.9105,10.506046153846158,-68.925,109.616,46.15384615384615
original_including_truncated,Telcm,5,13,10.142900000000001,11.565669230769233,-60.0734,99.4031,46.15384615384615
original_including_truncated,Utils,1,13,4.4658999999999995,5.094284615384614,-30.0651,41.1502,23.076923076923077
original_including_truncated,Utils,3,13,17.8703,15.61470769230769,-28.3558,74.5118,38.46153846153847
original_including_truncated,Utils,5,13,39.2668,40.09757692307692,-10.474,113.67940000000002,15.384615384615385
complete_horizons_only,BOND10Y,1,13,2.0129,1.028515384615385,-22.0121,14.6398,38.46153846153847
complete_horizons_only,BOND10Y,3,13,5.552300000000001,5.367061538461537,-23.4099,32.232699999999994,38.46153846153847
complete_horizons_only,BOND10Y,5,12,13.7388,11.129641666666666,-21.6292,33.8365,25.0
complete_horizons_only,BusEq,1,13,6.268999999999999,-3.7217692307692305,-53.809200000000004,46.152100000000004,38.46153846153847
complete_horizons_only,BusEq,3,13,45.281,27.33762307692308,-76.2269,127.2448,38.46153846153847
complete_horizons_only,BusEq,5,12,36.0768,46.72366666666667,-66.8236,181.4056,25.0
complete_horizons_only,CASH,1,13,-0.1676,-1.344530769230769,-14.6935,2.3579,53.84615384615385
complete_horizons_only,CASH,3,13,-2.1153999999999997,-1.9157,-20.1214,9.1946,69.23076923076923
complete_horizons_only,CASH,5,12,-1.82755,-2.9412749999999996,-24.462400000000002,13.506499999999999,66.66666666666666
complete_horizons_only,Chems,1,13,3.6611,2.94213076923077,-25.4382,23.5141,38.46153846153847
complete_horizons_only,Chems,3,13,22.981199999999998,17.332084615384616,-24.846899999999998,42.9348,30.76923076923077
complete_horizons_only,Chems,5,12,37.05285,44.99685833333333,6.252199999999999,149.0674,0.0
complete_horizons_only,Durbl,1,13,-0.13699999999999998,-6.0375538461538465,-61.070899999999995,59.32619999999999,53.84615384615385
complete_horizons_only,Durbl,3,13,12.5196,22.65501538461538,-34.2077,195.49669999999998,38.46153846153847
complete_horizons_only,Durbl,5,12,16.551499999999997,40.145100000000006,-23.831,195.7762,25.0
complete_horizons_only,Enrgy,1,13,-2.4920999999999998,6.043976923076922,-31.385099999999998,65.41369999999999,53.84615384615385
complete_horizons_only,Enrgy,3,13,10.7999,20.65154615384616,-28.111399999999996,119.5073,30.76923076923077
complete_horizons_only,Enrgy,5,12,35.968450000000004,56.64048333333333,-30.3489,189.6275,25.0
complete_horizons_only,GOLD,1,10,1.5251000000000001,0.6650200000000004,-16.8441,28.490399999999998,50.0
complete_horizons_only,GOLD,3,10,30.498349999999995,24.130380000000002,-33.2713,69.8081,30.0
complete_horizons_only,GOLD,5,9,25.173299999999998,53.53946666666666,-42.999500000000005,153.6676,22.22222222222222
complete_horizons_only,Hlth,1,13,13.0661,6.6300923076923075,-33.2046,30.6292,30.76923076923077
complete_horizons_only,Hlth,3,13,10.1022,19.02471538461538,-37.816,100.58739999999999,38.46153846153847
complete_horizons_only,Hlth,5,12,24.110500000000002,38.96400833333333,-13.0246,128.9581,16.666666666666664
complete_horizons_only,MKT,1,13,6.8375,-0.11601538461538478,-38.208999999999996,36.8065,38.46153846153847
complete_horizons_only,MKT,3,13,23.7697,18.765607692307693,-44.133,78.121,38.46153846153847
complete_horizons_only,MKT,5,12,27.03975,36.27740000000001,-18.4189,137.0106,25.0
complete_horizons_only,Manuf,1,13,3.6089999999999995,2.6809230769230754,-46.1974,46.7771,30.76923076923077
complete_horizons_only,Manuf,3,13,20.7895,21.516761538461537,-37.2684,96.8391,23.076923076923077
complete_horizons_only,Manuf,5,12,38.2286,51.47031666666667,-10.5183,187.37539999999998,8.333333333333332
complete_horizons_only,Money,1,13,8.4352,6.2572230769230766,-49.9461,44.0095,38.46153846153847
complete_horizons_only,Money,3,13,38.3821,28.26971538461538,-48.9043,91.4557,23.076923076923077
complete_horizons_only,Money,5,12,43.6065,42.94529166666666,-43.5548,148.9233,16.666666666666664
complete_horizons_only,NoDur,1,13,8.423,7.607738461538461,-29.089399999999998,34.7879,23.076923076923077
complete_horizons_only,NoDur,3,13,15.598899999999999,18.934161538461534,-34.498200000000004,46.434999999999995,7.6923076923076925
complete_horizons_only,NoDur,5,12,36.370200000000004,37.6032,-20.3399,92.07610000000001,8.333333333333332
complete_horizons_only,Other,1,13,5.8756,-1.9318307692307686,-42.784299999999995,39.0283,38.46153846153847
complete_horizons_only,Other,3,13,26.708199999999998,12.529530769230771,-46.5548,68.5416,38.46153846153847
complete_horizons_only,Other,5,12,11.066849999999999,24.723716666666665,-23.1421,126.10459999999999,33.33333333333333
complete_horizons_only,SIXTY40,1,13,4.8435,0.1456076923076923,-23.410800000000002,22.016,38.46153846153847
complete_horizons_only,SIXTY40,3,13,10.7678,12.55091538461539,-25.862099999999998,53.5942,30.76923076923077
complete_horizons_only,SIXTY40,5,12,15.389050000000001,25.592975,-4.9079999999999995,69.9586,8.333333333333332
complete_horizons_only,Shops,1,13,5.4060999999999995,3.6290692307692307,-30.1662,38.369,23.076923076923077
complete_horizons_only,Shops,3,13,17.1732,25.487161538461546,-30.5578,99.6627,30.76923076923077
complete_horizons_only,Shops,5,12,42.566900000000004,46.15904166666667,-10.0424,102.6054,8.333333333333332
complete_horizons_only,Telcm,1,13,4.6991,-3.9462692307692313,-41.9041,26.4028,38.46153846153847
complete_horizons_only,Telcm,3,13,4.9105,10.506046153846158,-68.925,109.616,46.15384615384615
complete_horizons_only,Telcm,5,12,12.80565,13.795816666666667,-60.0734,99.4031,41.66666666666667
complete_horizons_only,Utils,1,13,4.4658999999999995,5.094284615384614,-30.0651,41.1502,23.076923076923077
complete_horizons_only,Utils,3,13,17.8703,15.61470769230769,-28.3558,74.5118,38.46153846153847
complete_horizons_only,Utils,5,12,31.710050000000003,39.87609166666667,-10.474,113.67940000000002,16.666666666666664
chronological_disjoint_complete,BOND10Y,1,7,1.5133,-2.8352428571428567,-22.0121,6.2978000000000005,42.857142857142854
chronological_disjoint_complete,BOND10Y,3,7,5.552300000000001,2.7418714285714287,-23.4099,24.8003,42.857142857142854
chronological_disjoint_complete,BOND10Y,5,6,13.7388,9.752050000000002,-21.6292,32.6812,33.33333333333333
chronological_disjoint_complete,BusEq,1,7,-25.759700000000002,-11.152442857142855,-42.4283,25.4662,57.14285714285714
chronological_disjoint_complete,BusEq,3,7,25.8768,25.3904,-36.614799999999995,127.2448,42.857142857142854
chronological_disjoint_complete,BusEq,5,6,12.75355,35.25423333333333,-22.8364,107.3008,33.33333333333333
chronological_disjoint_complete,CASH,1,7,-0.1676,-2.2725857142857144,-14.6935,2.1223,57.14285714285714
chronological_disjoint_complete,CASH,3,7,-1.6317000000000002,-2.0676285714285716,-20.1214,9.1946,71.42857142857143
chronological_disjoint_complete,CASH,5,6,-2.5682,-3.2186833333333342,-24.462400000000002,13.506499999999999,66.66666666666666
chronological_disjoint_complete,Chems,1,7,-1.266,-3.9400999999999984,-25.4382,22.3578,57.14285714285714
chronological_disjoint_complete,Chems,3,7,2.614,9.023185714285713,-24.846899999999998,42.9348,42.857142857142854
chronological_disjoint_complete,Chems,5,6,34.52125,28.9452,6.252199999999999,43.8883,0.0
chronological_disjoint_complete,Durbl,1,7,-5.2813,-18.405214285714287,-61.070899999999995,12.731,71.42857142857143
chronological_disjoint_complete,Durbl,3,7,5.2791999999999994,4.837899999999999,-34.2077,74.4443,42.857142857142854
chronological_disjoint_complete,Durbl,5,6,4.73705,8.370399999999998,-23.831,45.6673,33.33333333333333
chronological_disjoint_complete,Enrgy,1,7,-2.4920999999999998,1.7778428571428573,-31.385099999999998,65.41369999999999,57.14285714285714
chronological_disjoint_complete,Enrgy,3,7,10.7999,11.986657142857146,-28.111399999999996,64.99719999999999,42.857142857142854
chronological_disjoint_complete,Enrgy,5,6,35.968450000000004,33.75756666666667,-30.3489,87.1847,33.33333333333333
chronological_disjoint_complete,GOLD,1,5,-11.6078,-5.54538,-16.8441,11.7063,60.0
chronological_disjoint_complete,GOLD,3,5,28.2445,20.51242,-33.2713,69.8081,40.0
chronological_disjoint_complete,GOLD,5,4,43.7515,38.37685,-42.999500000000005,109.0039,25.0
chronological_disjoint_complete,Hlth,1,7,-4.5561,-0.7324571428571416,-33.2046,29.529100000000003,57.14285714285714
chronological_disjoint_complete,Hlth,3,7,3.8693,16.348742857142856,-37.816,100.58739999999999,42.857142857142854
chronological_disjoint_complete,Hlth,5,6,33.1672,38.34023333333334,-13.0246,124.08550000000001,16.666666666666664
chronological_disjoint_complete,MKT,1,7,-9.5937,-8.352057142857143,-38.208999999999996,18.604699999999998,57.14285714285714
chronological_disjoint_complete,MKT,3,7,18.745800000000003,13.984171428571429,-32.2273,78.121,42.857142857142854
chronological_disjoint_complete,MKT,5,6,9.3645,25.12015,-5.9184,73.1308,16.666666666666664
chronological_disjoint_complete,Manuf,1,7,0.6735,-7.4314285714285715,-46.1974,23.3818,42.857142857142854
chronological_disjoint_complete,Manuf,3,7,16.3482,10.9984,-37.2684,48.992599999999996,28.57142857142857
chronological_disjoint_complete,Manuf,5,6,24.7297,28.629716666666667,-10.5183,78.11580000000001,16.666666666666664
chronological_disjoint_complete,Money,1,7,-2.139,-4.423185714285715,-49.9461,32.7691,57.14285714285714
chronological_disjoint_complete,Money,3,7,29.629699999999996,26.142114285714285,-48.9043,91.4557,28.57142857142857
chronological_disjoint_complete,Money,5,6,43.6065,39.56999999999999,-43.5548,110.61229999999999,16.666666666666664
chronological_disjoint_complete,NoDur,1,7,5.3947,1.4926714285714293,-29.089399999999998,23.7266,28.57142857142857
chronological_disjoint_complete,NoDur,3,7,15.598899999999999,15.549799999999996,-34.498200000000004,46.434999999999995,14.285714285714285
chronological_disjoint_complete,NoDur,5,6,33.2188,25.73228333333333,-20.3399,51.383,16.666666666666664
chronological_disjoint_complete,Other,1,7,-9.6356,-12.515085714285714,-42.784299999999995,10.7592,57.14285714285714
chronological_disjoint_complete,Other,3,7,21.68,3.208857142857144,-46.5548,29.409000000000002,42.857142857142854
chronological_disjoint_complete,Other,5,6,4.16115,4.9167,-23.1421,48.6811,33.33333333333333
chronological_disjoint_complete,SIXTY40,1,7,-3.2697,-6.3743428571428575,-23.410800000000002,10.545200000000001,57.14285714285714
chronological_disjoint_complete,SIXTY40,3,7,5.8631,9.258085714285714,-25.862099999999998,53.5942,28.57142857142857
chronological_disjoint_complete,SIXTY40,5,6,11.7257,19.91265,-4.9079999999999995,54.7951,16.666666666666664
chronological_disjoint_complete,Shops,1,7,0.015799999999999998,-4.964528571428572,-30.1662,27.1366,42.857142857142854
chronological_disjoint_complete,Shops,3,7,17.1732,24.721900000000005,-30.5578,99.6627,28.57142857142857
chronological_disjoint_complete,Shops,5,6,44.18285,44.87773333333334,-10.0424,88.9417,16.666666666666664
chronological_disjoint_complete,Telcm,1,7,-20.1067,-14.884614285714287,-41.9041,7.285500000000001,57.14285714285714
chronological_disjoint_complete,Telcm,3,7,-4.3610999999999995,6.72312857142857,-38.310100000000006,109.616,57.14285714285714
