regime,horizon_quarters,n,intercept,slope_change_on_level,hac_slope_se,hac_t,implied_equilibrium
full,4,314,0.4971370360894084,-0.05843447900063039,0.03073125091023438,-1.9014676353825235,8.50759764768409
pre1990,4,168,2.7190303134337763,-0.44449215374716255,0.10532360493403897,-4.220251994085606,6.117161552823323
1990_2009,4,76,1.662173953344896,-0.2143655656048128,0.08600391946093044,-2.4925092594436236,7.753922364607509
2010plus,4,62,5.88516474664021,-0.5660060777379616,0.1951233446791187,-2.9007604326830365,10.39770592245267
full,12,306,1.177801151582603,-0.1415827860911847,0.06366093097020097,-2.2240137543300795,8.318816037594107
pre1990,12,160,5.555769406476596,-0.9158717122358571,0.17792657775628481,-5.147469949601198,6.066100014066013
1990_2009,12,68,5.245126732648746,-0.6988700081053129,0.15939043180112708,-4.384642165831506,7.505153564779041
2010plus,12,54,7.599746035082093,-0.7322837809533486,0.17077371342473202,-4.288035706830843,10.378143327424384
full,20,298,1.364908159755381,-0.15070521077908916,0.1028434682865574,-1.4653843680103478,9.056808007495693
pre1990,20,152,6.3533592439316084,-1.042806412657891,0.10532568682101968,-9.900779611624426,6.092558663633695
1990_2009,20,60,7.821355463196919,-1.0528425100740961,0.2201832034432108,-4.781665874643536,7.428799073326241
2010plus,20,46,11.309116900516441,-1.096930431833498,0.34670914623899846,-3.163834711984628,10.309784989384852
