spec,gap_months,cutoff,rank,date,horizon,asset,real_return
original_full_sample,24,2023-12-01,1,2021-11-01,1,MKT,-17.83896187312638
original_full_sample,24,2023-12-01,1,2021-11-01,1,CASH,-5.624587724152663
original_full_sample,24,2023-12-01,1,2021-11-01,1,GOLD,-11.607792022095055
original_full_sample,24,2023-12-01,1,2021-11-01,1,Enrgy,65.41367430134444
original_full_sample,24,2023-12-01,1,2021-11-01,1,BusEq,-30.15768103193608
original_full_sample,24,2023-12-01,1,2021-11-01,1,Telcm,-20.106730678688713
original_full_sample,24,2023-12-01,1,2021-11-01,3,MKT,18.745792670140027
original_full_sample,24,2023-12-01,1,2021-11-01,3,CASH,-1.6317155397430727
original_full_sample,24,2023-12-01,1,2021-11-01,3,GOLD,28.244470581137637
original_full_sample,24,2023-12-01,1,2021-11-01,3,Enrgy,64.99720348424604
original_full_sample,24,2023-12-01,1,2021-11-01,3,BusEq,25.876766782224614
original_full_sample,24,2023-12-01,1,2021-11-01,3,Telcm,-4.361134001355027
original_full_sample,24,2023-12-01,1,2021-11-01,5,MKT,
original_full_sample,24,2023-12-01,1,2021-11-01,5,CASH,
original_full_sample,24,2023-12-01,1,2021-11-01,5,GOLD,
original_full_sample,24,2023-12-01,1,2021-11-01,5,Enrgy,
original_full_sample,24,2023-12-01,1,2021-11-01,5,BusEq,
original_full_sample,24,2023-12-01,1,2021-11-01,5,Telcm,
original_full_sample,24,2023-12-01,2,2007-10-01,1,MKT,-38.208969054362804
original_full_sample,24,2023-12-01,2,2007-10-01,1,CASH,-1.418707900106253
original_full_sample,24,2023-12-01,2,2007-10-01,1,GOLD,3.1216556016178787
original_full_sample,24,2023-12-01,2,2007-10-01,1,Enrgy,-31.385050310732886
original_full_sample,24,2023-12-01,2,2007-10-01,1,BusEq,-42.42834226268756
original_full_sample,24,2023-12-01,2,2007-10-01,1,Telcm,-41.90408310541919
original_full_sample,24,2023-12-01,2,2007-10-01,3,MKT,-19.242032101489535
original_full_sample,24,2023-12-01,2,2007-10-01,3,CASH,-2.187875888970381
original_full_sample,24,2023-12-01,2,2007-10-01,3,GOLD,69.80814353640743
original_full_sample,24,2023-12-01,2,2007-10-01,3,Enrgy,-21.15827897652419
original_full_sample,24,2023-12-01,2,2007-10-01,3,BusEq,-10.113965333508768
