spec,gap_months,cutoff,rank,date,score,n_dims
original_full_sample,24,2023-12-01,1,2021-11-01,88.55735322693181,11
original_full_sample,24,2023-12-01,2,2007-10-01,85.54091370571622,11
original_full_sample,24,2023-12-01,3,1946-06-01,80.44855513661008,7
original_full_sample,24,2023-12-01,4,2005-09-01,80.11365871905144,11
original_full_sample,24,2023-12-01,5,2001-02-01,79.72163467410941,11
original_full_sample,24,2023-12-01,6,2018-06-01,79.40417837182943,11
original_full_sample,24,2023-12-01,7,2011-07-01,77.9654779616896,11
original_full_sample,24,2023-12-01,8,1996-02-01,77.3430441371529,11
original_full_sample,24,2023-12-01,9,2003-03-01,76.18799816740136,11
original_full_sample,24,2023-12-01,10,1966-05-01,75.35305305341979,11
original_full_sample,24,2023-12-01,11,1950-10-01,75.11200783841343,9
original_full_sample,24,2023-12-01,12,2014-07-01,74.97808924411385,11
original_full_sample,60,2021-07-01,1,2021-07-01,86.4232123182158,11
original_full_sample,60,2021-07-01,2,2007-10-01,85.54091370571622,11
original_full_sample,60,2021-07-01,3,1946-06-01,80.44855513661008,7
original_full_sample,60,2021-07-01,4,2001-02-01,79.72163467410941,11
original_full_sample,60,2021-07-01,5,1996-02-01,77.3430441371529,11
original_full_sample,60,2021-07-01,6,1966-05-01,75.35305305341979,11
original_full_sample,60,2021-07-01,7,2014-07-01,74.97808924411385,11
original_full_sample,60,2021-07-01,8,1973-02-01,73.6439487187654,11
expanding_primary_same_backbone,24,2023-12-01,1,2007-10-01,89.60575595358351,11
expanding_primary_same_backbone,24,2023-12-01,2,2021-08-01,89.50248647170578,11
expanding_primary_same_backbone,24,2023-12-01,3,2005-10-01,84.20117984815802,11
expanding_primary_same_backbone,24,2023-12-01,4,1946-06-01,83.32254546036688,7
expanding_primary_same_backbone,24,2023-12-01,5,1996-02-01,82.9277530490775,11
expanding_primary_same_backbone,24,2023-12-01,6,2001-02-01,82.19609698824289,11
expanding_primary_same_backbone,24,2023-12-01,7,2017-09-01,81.09431396963092,11
expanding_primary_same_backbone,24,2023-12-01,8,1967-12-01,80.66115089461374,10
expanding_primary_same_backbone,24,2023-12-01,9,2011-07-01,79.67347366021474,11
expanding_primary_same_backbone,24,2023-12-01,10,2003-03-01,79.58874235872398,11
expanding_primary_same_backbone,24,2023-12-01,11,1956-07-01,78.8365816656249,7
expanding_primary_same_backbone,24,2023-12-01,12,2014-05-01,76.7185996382149,11
expanding_primary_same_backbone,60,2021-07-01,1,2007-10-01,89.60575595358351,11
expanding_primary_same_backbone,60,2021-07-01,2,2021-07-01,87.69006504194198,11
expanding_primary_same_backbone,60,2021-07-01,3,1946-06-01,83.32254546036688,7
expanding_primary_same_backbone,60,2021-07-01,4,1996-02-01,82.9277530490775,11
expanding_primary_same_backbone,60,2021-07-01,5,2001-02-01,82.19609698824289,11
expanding_primary_same_backbone,60,2021-07-01,6,1967-12-01,80.66115089461374,10
expanding_primary_same_backbone,60,2021-07-01,7,1956-07-01,78.8365816656249,7
expanding_primary_same_backbone,60,2021-07-01,8,2014-05-01,76.7185996382149,11
expanding_complete_11dims,24,2023-12-01,1,2007-10-01,89.60575595358351,11
expanding_complete_11dims,24,2023-12-01,2,2021-08-01,89.50248647170578,11
expanding_complete_11dims,24,2023-12-01,3,2005-10-01,84.20117984815802,11
expanding_complete_11dims,24,2023-12-01,4,1996-02-01,82.9277530490775,11
expanding_complete_11dims,24,2023-12-01,5,2001-02-01,82.19609698824289,11
expanding_complete_11dims,24,2023-12-01,6,2017-09-01,81.09431396963092,11
expanding_complete_11dims,24,2023-12-01,7,2011-07-01,79.67347366021474,11
expanding_complete_11dims,24,2023-12-01,8,2003-03-01,79.58874235872398,11
expanding_complete_11dims,24,2023-12-01,9,2014-05-01,76.7185996382149,11
expanding_complete_11dims,24,2023-12-01,10,1973-02-01,75.25753641921298,11
expanding_complete_11dims,24,2023-12-01,11,1968-01-01,74.72095980261342,11
expanding_complete_11dims,24,2023-12-01,12,1998-07-01,72.47754811873865,11
expanding_complete_11dims,60,2021-07-01,1,2007-10-01,89.60575595358351,11
expanding_complete_11dims,60,2021-07-01,2,2021-07-01,87.69006504194198,11
expanding_complete_11dims,60,2021-07-01,3,1996-02-01,82.9277530490775,11
expanding_complete_11dims,60,2021-07-01,4,2001-02-01,82.19609698824289,11
expanding_complete_11dims,60,2021-07-01,5,2014-05-01,76.7185996382149,11
expanding_complete_11dims,60,2021-07-01,6,1973-02-01,75.25753641921298,11
expanding_complete_11dims,60,2021-07-01,7,1968-01-01,74.72095980261342,11
expanding_complete_11dims,60,2021-07-01,8,1978-10-01,71.73722805045898,11
