"input_package","level","old","blind","n","weighted_claims"
"V1_ai_bubble","exact","MISLEADING","UNVERIFIABLE","1","24.0"
"V1_ai_bubble","exact","MOSTLY_TRUE","MISLEADING","3","72.0"
"V1_ai_bubble","exact","MOSTLY_TRUE","MOSTLY_TRUE","1","24.0"
"V1_ai_bubble","exact","TRUE","MOSTLY_TRUE","1","24.0"
"V1_ai_bubble","exact","TRUE","TRUE","1","24.0"
"V1_ai_bubble","exact","UNVERIFIABLE","MOSTLY_TRUE","1","24.0"
"V1_ai_bubble","collapsed","adverse","unresolved","1","24.0"
"V1_ai_bubble","collapsed","supported","adverse","3","72.0"
"V1_ai_bubble","collapsed","supported","supported","3","72.0"
"V1_ai_bubble","collapsed","unresolved","supported","1","24.0"
"V2_equity_valuation","exact","FALSE","UNVERIFIABLE","1","15.5"
"V2_equity_valuation","exact","MOSTLY_TRUE","MOSTLY_TRUE","1","15.5"
"V2_equity_valuation","exact","MOSTLY_TRUE","UNVERIFIABLE","1","15.5"
"V2_equity_valuation","exact","TRUE","TRUE","1","15.5"
"V2_equity_valuation","exact","UNVERIFIABLE","MOSTLY_TRUE","1","15.5"
"V2_equity_valuation","exact","UNVERIFIABLE","UNVERIFIABLE","3","46.5"
"V2_equity_valuation","collapsed","adverse","unresolved","1","15.5"
"V2_equity_valuation","collapsed","supported","supported","2","31.0"
"V2_equity_valuation","collapsed","supported","unresolved","1","15.5"
"V2_equity_valuation","collapsed","unresolved","supported","1","15.5"
"V2_equity_valuation","collapsed","unresolved","unresolved","3","46.5"
"V3_fiscal_fed_liquidity","exact","MISLEADING","MISLEADING","1","27.5"
"V3_fiscal_fed_liquidity","exact","MOSTLY_TRUE","MOSTLY_TRUE","1","27.5"
"V3_fiscal_fed_liquidity","exact","MOSTLY_TRUE","TRUE","1","27.5"
"V3_fiscal_fed_liquidity","exact","TRUE","MISLEADING","1","27.5"
"V3_fiscal_fed_liquidity","exact","TRUE","MOSTLY_TRUE","1","27.5"
"V3_fiscal_fed_liquidity","exact","TRUE","TRUE","3","82.5"
"V3_fiscal_fed_liquidity","collapsed","adverse","adverse","1","27.5"
"V3_fiscal_fed_liquidity","collapsed","supported","adverse","1","27.5"
"V3_fiscal_fed_liquidity","collapsed","supported","supported","6","165.0"
"V4_oil_geopolitics_tariffs","exact","MISLEADING","UNVERIFIABLE","1","20.625"
"V4_oil_geopolitics_tariffs","exact","MOSTLY_TRUE","MOSTLY_TRUE","1","20.625"
"V4_oil_geopolitics_tariffs","exact","TRUE","MOSTLY_TRUE","2","41.25"
"V4_oil_geopolitics_tariffs","exact","TRUE","TRUE","1","20.625"
"V4_oil_geopolitics_tariffs","exact","TRUE","UNVERIFIABLE","1","20.625"
"V4_oil_geopolitics_tariffs","exact","UNVERIFIABLE","MISLEADING","1","20.625"
"V4_oil_geopolitics_tariffs","exact","UNVERIFIABLE","MOSTLY_TRUE","1","20.625"
"V4_oil_geopolitics_tariffs","collapsed","adverse","unresolved","1","20.625"
"V4_oil_geopolitics_tariffs","collapsed","supported","supported","4","82.5"
"V4_oil_geopolitics_tariffs","collapsed","supported","unresolved","1","20.625"
"V4_oil_geopolitics_tariffs","collapsed","unresolved","adverse","1","20.625"
"V4_oil_geopolitics_tariffs","collapsed","unresolved","supported","1","20.625"
"V5_dollar_china_gold","exact","MISLEADING","FALSE","1","26.25"
"V5_dollar_china_gold","exact","MOSTLY_TRUE","FALSE","1","26.25"
"V5_dollar_china_gold","exact","MOSTLY_TRUE","MISLEADING","1","26.25"
"V5_dollar_china_gold","exact","MOSTLY_TRUE","MOSTLY_TRUE","1","26.25"
"V5_dollar_china_gold","exact","TRUE","MOSTLY_TRUE","1","26.25"
"V5_dollar_china_gold","exact","TRUE","TRENDING","1","26.25"
"V5_dollar_china_gold","exact","TRUE","UNVERIFIABLE","1","26.25"
"V5_dollar_china_gold","exact","UNVERIFIABLE","UNVERIFIABLE","1","26.25"
"V5_dollar_china_gold","collapsed","adverse","adverse","1","26.25"
"V5_dollar_china_gold","collapsed","supported","adverse","2","52.5"
"V5_dollar_china_gold","collapsed","supported","supported","3","78.75"
"V5_dollar_china_gold","collapsed","supported","unresolved","1","26.25"
"V5_dollar_china_gold","collapsed","unresolved","unresolved","1","26.25"
"V6_japan_credit_crypto","exact","MOSTLY_TRUE","MISLEADING","1","17.125"
"V6_japan_credit_crypto","exact","MOSTLY_TRUE","MOSTLY_TRUE","3","51.375"
"V6_japan_credit_crypto","exact","TRUE","MISLEADING","1","17.125"
"V6_japan_credit_crypto","exact","TRUE","MOSTLY_TRUE","1","17.125"
"V6_japan_credit_crypto","exact","TRUE","TRUE","1","17.125"
"V6_japan_credit_crypto","exact","UNVERIFIABLE","UNVERIFIABLE","1","17.125"
"V6_japan_credit_crypto","collapsed","supported","adverse","2","34.25"
"V6_japan_credit_crypto","collapsed","supported","supported","5","85.625"
"V6_japan_credit_crypto","collapsed","unresolved","unresolved","1","17.125"
"V7_inflation_cycle_labor_housing","exact","MOSTLY_TRUE","FALSE","1","18.75"
"V7_inflation_cycle_labor_housing","exact","MOSTLY_TRUE","MISLEADING","1","18.75"
"V7_inflation_cycle_labor_housing","exact","TRUE","MISLEADING","1","18.75"
"V7_inflation_cycle_labor_housing","exact","TRUE","MOSTLY_TRUE","3","56.25"
