claim_id,channel,video_id,video_date,claim_type,thesis_cluster,_scope,package,fact_key,verdict,supported,unknown,checkable
BR-20260912-01,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,hyperscaler_ai_debt_500B,MOSTLY_TRUE,True,False,True
BR-20260912-02,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,ai_committed_purchases_3T,MISLEADING,False,False,True
BR-20260912-03,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,unprecedented_debt_accumulation,MOSTLY_TRUE,True,False,True
BR-20260912-06,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,ai_debt_vs_telecom_subprime,MISLEADING,False,False,True
BR-20260912-23,bravos,RUH3BPQ5fTo,2026-09-12,RECOMMENDATION,AI_BUBBLE,core90,V1,credit_stress_ai_real,TRUE,True,False,True
BR-20260912-26,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,ai_lab_compute_demand_concentration,MOSTLY_TRUE,True,False,True
BR-20260912-27,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,anthropic_revenue_74B,MOSTLY_TRUE,True,False,True
BR-20260912-28,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,openai_revenue_41B,TRUE,True,False,True
BR-20260912-29,bravos,RUH3BPQ5fTo,2026-09-12,SOURCE_CITATION,AI_BUBBLE,core90,V1,ceos_cite_ai_demand,TRUE,True,False,True
BR-20260912-31,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,openai_anthropic_valuation_2T,TRUE,True,False,True
BR-20260912-33,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,walmart_half_revenue_100B,FALSE,False,False,True
BR-20260912-35,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,us_firm_ai_adoption,MOSTLY_TRUE,True,False,True
BR-20260912-36,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,household_ai_subscriptions,UNVERIFIABLE,False,True,False
BR-20260912-38,bravos,RUH3BPQ5fTo,2026-09-12,POLICY_FACT,AI_BUBBLE,core90,V1,openai_122B_round,TRUE,True,False,True
BR-20260912-47,bravos,RUH3BPQ5fTo,2026-09-12,DATA_POINT,AI_BUBBLE,core90,V1,ai_committed_purchases_3T,MISLEADING,False,False,True
BR-20260912-48,bravos,RUH3BPQ5fTo,2026-09-12,RECOMMENDATION,AI_BUBBLE,core90,V1,recommendation_no_fact,UNVERIFIABLE,False,True,False
BR-20260916-03,bravos,jx3Ll-GJtMY,2026-09-16,DATA_POINT,AI_BUBBLE,core90,V1,ai_boom_50x_dotcom,FALSE,False,False,True
BR-20260916-04,bravos,jx3Ll-GJtMY,2026-09-16,DATA_POINT,AI_BUBBLE,core90,V1,ai_investment_5x_3yrs,TRUE,True,False,True
BR-20260916-05,bravos,jx3Ll-GJtMY,2026-09-16,DATA_POINT,AI_BUBBLE,core90,V1,us_ai_investment_2026_1T,MOSTLY_TRUE,True,False,True
BR-20260916-10,bravos,jx3Ll-GJtMY,2026-09-16,DATA_POINT,AI_BUBBLE,core90,V1,sp500_25yr_recovery_1929,TRUE,True,False,True
BR-20260916-14,bravos,jx3Ll-GJtMY,2026-09-16,DATA_POINT,AI_BUBBLE,core90,V1,utilities_6mo_lead_1929,MISLEADING,False,False,True
BR-20260916-16,bravos,jx3Ll-GJtMY,2026-09-16,DATA_POINT,AI_BUBBLE,core90,V1,nasdaq_led_sp500_2000,MOSTLY_TRUE,True,False,True
BR-20260916-24,bravos,jx3Ll-GJtMY,2026-09-16,DATA_POINT,AI_BUBBLE,core90,V1,hyperscalers_drove_market,MOSTLY_TRUE,True,False,True
BR-20260916-25,bravos,jx3Ll-GJtMY,2026-09-16,DATA_POINT,AI_BUBBLE,core90,V1,hyperscalers_drove_market,MOSTLY_TRUE,True,False,True
BR-20260916-26,bravos,jx3Ll-GJtMY,2026-09-16,DATA_POINT,AI_BUBBLE,core90,V1,sp500_record_highs_sep2026,MISLEADING,False,False,True
BR-20260813-01,bravos,4AkB4c0tTfU,2026-08-13,DATA_POINT,AI_BUBBLE,core90,V1,semi_etf_inflows_12B,MISLEADING,False,False,True
BR-20260813-02,bravos,4AkB4c0tTfU,2026-08-13,DATA_POINT,AI_BUBBLE,core90,V1,sox_peak_jun2026_drawdown,MOSTLY_TRUE,True,False,True
BR-20260813-03,bravos,4AkB4c0tTfU,2026-08-13,DATA_POINT,AI_BUBBLE,core90,V1,semi_stock_declines_2026,MOSTLY_TRUE,True,False,True
BR-20260813-06,bravos,4AkB4c0tTfU,2026-08-13,DATA_POINT,AI_BUBBLE,core90,V1,semis_euphoria_leverage,MOSTLY_TRUE,True,False,True
BR-20260813-07,bravos,4AkB4c0tTfU,2026-08-13,DATA_POINT,AI_BUBBLE,core90,V1,semis_two_year_gain,MOSTLY_TRUE,True,False,True
BR-20260813-15,bravos,4AkB4c0tTfU,2026-08-13,DATA_POINT,AI_BUBBLE,core90,V1,semis_euphoria_leverage,MOSTLY_TRUE,True,False,True
BR-20260813-24,bravos,4AkB4c0tTfU,2026-08-13,DATA_POINT,AI_BUBBLE,core90,V1,semis_momentum_intact_aug2026,FALSE,False,False,True
